indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-11-18,AFKS,AFKS,AFKS,1.92,3
IMOEX,2013-11-18,AFLT,AFLT,AFLT,0.3,3
IMOEX,2013-11-18,ALRS,ALRS,ALRS,0.33,3
IMOEX,2013-11-18,BANE,BANE,BANE,0.61,3
IMOEX,2013-11-18,BANEP,BANEP,BANEP,0.69,3
IMOEX,2013-11-18,CHMF,CHMF,CHMF,0.73,3
IMOEX,2013-11-18,DIXY,DIXY,DIXY,0.24,3
IMOEX,2013-11-18,EONR,EONR,EONR,0.39,3
IMOEX,2013-11-18,FEES,FEES,FEES,0.31,3
IMOEX,2013-11-18,GAZP,GAZP,GAZP,15.5,3
IMOEX,2013-11-18,GMKN,GMKN,GMKN,3.23,3
IMOEX,2013-11-18,HYDR,HYDR,HYDR,0.85,3
IMOEX,2013-11-18,IRAO,IRAO,IRAO,0.22,3
IMOEX,2013-11-18,LKOH,LKOH,LKOH,13.81,3
IMOEX,2013-11-18,LSRG,LSRG,LSRG,0.27,3
IMOEX,2013-11-18,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-11-18,MFON,MFON,MFON,1.49,3
IMOEX,2013-11-18,MGNT,MGNT,MGNT,6.14,3
IMOEX,2013-11-18,MOEX,MOEX,MOEX,0.55,3
IMOEX,2013-11-18,MRKH,MRKH,MRKH,0.18,3
IMOEX,2013-11-18,MSNG,MSNG,MSNG,0.07,3
IMOEX,2013-11-18,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-11-18,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-11-18,MTLR,MTLR,MTLR,0.15,3
IMOEX,2013-11-18,MTLRP,MTLRP,MTLRP,0.07,3
IMOEX,2013-11-18,MTSS,MTSS,MTSS,4.7,3
IMOEX,2013-11-18,MVID,MVID,MVID,0.18,3
IMOEX,2013-11-18,NLMK,NLMK,NLMK,0.62,3
IMOEX,2013-11-18,NMTP,NMTP,NMTP,0.22,3
IMOEX,2013-11-18,NVTK,NVTK,NVTK,4.74,3
IMOEX,2013-11-18,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-11-18,PHST,PHST,PHST,0.23,3
IMOEX,2013-11-18,PIKK,PIKK,PIKK,0.24,3
IMOEX,2013-11-18,POLY,POLY,POLY,0.79,3
IMOEX,2013-11-18,ROSN,ROSN,ROSN,4.39,3
IMOEX,2013-11-18,RTKM,RTKM,RTKM,1.94,3
IMOEX,2013-11-18,RTKMP,RTKMP,RTKMP,0.23,3
IMOEX,2013-11-18,RUALR,RUALR,RUALR,0.21,3
IMOEX,2013-11-18,SBER,SBER,SBER,14.88,3
IMOEX,2013-11-18,SBERP,SBERP,SBERP,1.14,3
IMOEX,2013-11-18,SNGS,SNGS,SNGS,3.45,3
IMOEX,2013-11-18,SNGSP,SNGSP,SNGSP,1.85,3
IMOEX,2013-11-18,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-11-18,TATN,TATN,TATN,2.08,3
IMOEX,2013-11-18,TATNP,TATNP,TATNP,0.24,3
IMOEX,2013-11-18,TRMK,TRMK,TRMK,0.35,3
IMOEX,2013-11-18,TRNFP,TRNFP,TRNFP,1.81,3
IMOEX,2013-11-18,URKA,URKA,URKA,3.12,3
IMOEX,2013-11-18,VSMO,VSMO,VSMO,0.34,3
IMOEX,2013-11-18,VTBR,VTBR,VTBR,3.24,3
