indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-27,AFKS,AFKS,AFKS,2.31,3
IMOEX,2013-12-27,AFLT,AFLT,AFLT,0.43,3
IMOEX,2013-12-27,ALRS,ALRS,ALRS,0.87,3
IMOEX,2013-12-27,BANE,BANE,BANE,0.67,3
IMOEX,2013-12-27,BANEP,BANEP,BANEP,0.81,3
IMOEX,2013-12-27,BSPB,BSPB,BSPB,0.11,3
IMOEX,2013-12-27,CHMF,CHMF,CHMF,0.82,3
IMOEX,2013-12-27,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-27,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-27,FEES,FEES,FEES,0.35,3
IMOEX,2013-12-27,GAZP,GAZP,GAZP,14.39,3
IMOEX,2013-12-27,GMKN,GMKN,GMKN,3.8,3
IMOEX,2013-12-27,HYDR,HYDR,HYDR,0.91,3
IMOEX,2013-12-27,IRAO,IRAO,IRAO,0.27,3
IMOEX,2013-12-27,KMAZ,KMAZ,KMAZ,0.08,3
IMOEX,2013-12-27,LKOH,LKOH,LKOH,13.09,3
IMOEX,2013-12-27,LSRG,LSRG,LSRG,0.31,3
IMOEX,2013-12-27,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-27,MFON,MFON,MFON,1.51,3
IMOEX,2013-12-27,MGNT,MGNT,MGNT,6.27,3
IMOEX,2013-12-27,MOEX,MOEX,MOEX,0.84,3
IMOEX,2013-12-27,MRKH,MRKH,MRKH,0.26,3
IMOEX,2013-12-27,MSRS,MSRS,MSRS,0.12,3
IMOEX,2013-12-27,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-12-27,MTLR,MTLR,MTLR,0.14,3
IMOEX,2013-12-27,MTLRP,MTLRP,MTLRP,0.04,3
IMOEX,2013-12-27,MTSS,MTSS,MTSS,4.89,3
IMOEX,2013-12-27,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-27,NLMK,NLMK,NLMK,0.68,3
IMOEX,2013-12-27,NMTP,NMTP,NMTP,0.13,3
IMOEX,2013-12-27,NVTK,NVTK,NVTK,4.84,3
IMOEX,2013-12-27,PHOR,PHOR,PHOR,0.35,3
IMOEX,2013-12-27,PIKK,PIKK,PIKK,0.29,3
IMOEX,2013-12-27,POLY,POLY,POLY,0.88,3
IMOEX,2013-12-27,ROSN,ROSN,ROSN,4.67,3
IMOEX,2013-12-27,RTKM,RTKM,RTKM,1.35,3
IMOEX,2013-12-27,RTKMP,RTKMP,RTKMP,0.18,3
IMOEX,2013-12-27,RUALR,RUALR,RUALR,0.23,3
IMOEX,2013-12-27,SBER,SBER,SBER,13.45,3
IMOEX,2013-12-27,SBERP,SBERP,SBERP,1.03,3
IMOEX,2013-12-27,SNGS,SNGS,SNGS,3.37,3
IMOEX,2013-12-27,SNGSP,SNGSP,SNGSP,1.96,3
IMOEX,2013-12-27,SVAV,SVAV,SVAV,0.14,3
IMOEX,2013-12-27,TATN,TATN,TATN,2.13,3
IMOEX,2013-12-27,TATNP,TATNP,TATNP,0.26,3
IMOEX,2013-12-27,TRMK,TRMK,TRMK,0.36,3
IMOEX,2013-12-27,TRNFP,TRNFP,TRNFP,1.98,3
IMOEX,2013-12-27,URKA,URKA,URKA,3.15,3
IMOEX,2013-12-27,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-12-27,VTBR,VTBR,VTBR,3.69,3
