indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-11-28,AFKS,AFKS,AFKS,1.96,3
IMOEX,2013-11-28,AFLT,AFLT,AFLT,0.3,3
IMOEX,2013-11-28,ALRS,ALRS,ALRS,0.33,3
IMOEX,2013-11-28,BANE,BANE,BANE,0.62,3
IMOEX,2013-11-28,BANEP,BANEP,BANEP,0.76,3
IMOEX,2013-11-28,CHMF,CHMF,CHMF,0.76,3
IMOEX,2013-11-28,DIXY,DIXY,DIXY,0.26,3
IMOEX,2013-11-28,EONR,EONR,EONR,0.39,3
IMOEX,2013-11-28,FEES,FEES,FEES,0.31,3
IMOEX,2013-11-28,GAZP,GAZP,GAZP,15.06,3
IMOEX,2013-11-28,GMKN,GMKN,GMKN,3.4,3
IMOEX,2013-11-28,HYDR,HYDR,HYDR,0.87,3
IMOEX,2013-11-28,IRAO,IRAO,IRAO,0.2,3
IMOEX,2013-11-28,LKOH,LKOH,LKOH,13.82,3
IMOEX,2013-11-28,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-11-28,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-11-28,MFON,MFON,MFON,1.44,3
IMOEX,2013-11-28,MGNT,MGNT,MGNT,6.51,3
IMOEX,2013-11-28,MOEX,MOEX,MOEX,0.57,3
IMOEX,2013-11-28,MRKH,MRKH,MRKH,0.17,3
IMOEX,2013-11-28,MSNG,MSNG,MSNG,0.07,3
IMOEX,2013-11-28,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-11-28,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-11-28,MTLR,MTLR,MTLR,0.13,3
IMOEX,2013-11-28,MTLRP,MTLRP,MTLRP,0.06,3
IMOEX,2013-11-28,MTSS,MTSS,MTSS,4.53,3
IMOEX,2013-11-28,MVID,MVID,MVID,0.2,3
IMOEX,2013-11-28,NLMK,NLMK,NLMK,0.65,3
IMOEX,2013-11-28,NMTP,NMTP,NMTP,0.22,3
IMOEX,2013-11-28,NVTK,NVTK,NVTK,4.71,3
IMOEX,2013-11-28,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-11-28,PHST,PHST,PHST,0.22,3
IMOEX,2013-11-28,PIKK,PIKK,PIKK,0.26,3
IMOEX,2013-11-28,POLY,POLY,POLY,0.82,3
IMOEX,2013-11-28,ROSN,ROSN,ROSN,4.37,3
IMOEX,2013-11-28,RTKM,RTKM,RTKM,1.82,3
IMOEX,2013-11-28,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-11-28,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-11-28,SBER,SBER,SBER,14.79,3
IMOEX,2013-11-28,SBERP,SBERP,SBERP,1.18,3
IMOEX,2013-11-28,SNGS,SNGS,SNGS,3.43,3
IMOEX,2013-11-28,SNGSP,SNGSP,SNGSP,1.85,3
IMOEX,2013-11-28,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-11-28,TATN,TATN,TATN,2.06,3
IMOEX,2013-11-28,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-11-28,TRMK,TRMK,TRMK,0.36,3
IMOEX,2013-11-28,TRNFP,TRNFP,TRNFP,1.89,3
IMOEX,2013-11-28,URKA,URKA,URKA,2.94,3
IMOEX,2013-11-28,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-11-28,VTBR,VTBR,VTBR,3.39,3
