indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-16,AFKS,AFKS,AFKS,2.1,3
IMOEX,2013-12-16,AFLT,AFLT,AFLT,0.41,3
IMOEX,2013-12-16,ALRS,ALRS,ALRS,0.31,3
IMOEX,2013-12-16,BANE,BANE,BANE,0.64,3
IMOEX,2013-12-16,BANEP,BANEP,BANEP,0.81,3
IMOEX,2013-12-16,CHMF,CHMF,CHMF,0.76,3
IMOEX,2013-12-16,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-16,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-16,FEES,FEES,FEES,0.32,3
IMOEX,2013-12-16,GAZP,GAZP,GAZP,14.53,3
IMOEX,2013-12-16,GMKN,GMKN,GMKN,3.54,3
IMOEX,2013-12-16,HYDR,HYDR,HYDR,0.88,3
IMOEX,2013-12-16,IRAO,IRAO,IRAO,0.25,3
IMOEX,2013-12-16,LKOH,LKOH,LKOH,13.64,3
IMOEX,2013-12-16,LSRG,LSRG,LSRG,0.29,3
IMOEX,2013-12-16,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-16,MFON,MFON,MFON,1.52,3
IMOEX,2013-12-16,MGNT,MGNT,MGNT,6.53,3
IMOEX,2013-12-16,MOEX,MOEX,MOEX,0.55,3
IMOEX,2013-12-16,MRKH,MRKH,MRKH,0.18,3
IMOEX,2013-12-16,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-12-16,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-12-16,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-12-16,MTLR,MTLR,MTLR,0.13,3
IMOEX,2013-12-16,MTLRP,MTLRP,MTLRP,0.06,3
IMOEX,2013-12-16,MTSS,MTSS,MTSS,4.7,3
IMOEX,2013-12-16,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-16,NLMK,NLMK,NLMK,0.65,3
IMOEX,2013-12-16,NMTP,NMTP,NMTP,0.19,3
IMOEX,2013-12-16,NVTK,NVTK,NVTK,4.77,3
IMOEX,2013-12-16,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-12-16,PHST,PHST,PHST,0.2,3
IMOEX,2013-12-16,PIKK,PIKK,PIKK,0.26,3
IMOEX,2013-12-16,POLY,POLY,POLY,0.78,3
IMOEX,2013-12-16,ROSN,ROSN,ROSN,4.35,3
IMOEX,2013-12-16,RTKM,RTKM,RTKM,1.91,3
IMOEX,2013-12-16,RTKMP,RTKMP,RTKMP,0.23,3
IMOEX,2013-12-16,RUALR,RUALR,RUALR,0.23,3
IMOEX,2013-12-16,SBER,SBER,SBER,14.47,3
IMOEX,2013-12-16,SBERP,SBERP,SBERP,1.12,3
IMOEX,2013-12-16,SNGS,SNGS,SNGS,3.44,3
IMOEX,2013-12-16,SNGSP,SNGSP,SNGSP,1.94,3
IMOEX,2013-12-16,SVAV,SVAV,SVAV,0.14,3
IMOEX,2013-12-16,TATN,TATN,TATN,2.05,3
IMOEX,2013-12-16,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-12-16,TRMK,TRMK,TRMK,0.36,3
IMOEX,2013-12-16,TRNFP,TRNFP,TRNFP,1.94,3
IMOEX,2013-12-16,URKA,URKA,URKA,3.0,3
IMOEX,2013-12-16,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-12-16,VTBR,VTBR,VTBR,3.42,3
