indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-09-09,AFKS,AFKS,AFKS,1.71,3
IMOEX,2013-09-09,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-09-09,AKRN,AKRN,AKRN,0.09,3
IMOEX,2013-09-09,ALRS,ALRS,ALRS,0.34,3
IMOEX,2013-09-09,BANE,BANE,BANE,0.68,3
IMOEX,2013-09-09,BANEP,BANEP,BANEP,0.73,3
IMOEX,2013-09-09,CHMF,CHMF,CHMF,0.8,3
IMOEX,2013-09-09,DIXY,DIXY,DIXY,0.26,3
IMOEX,2013-09-09,EONR,EONR,EONR,0.45,3
IMOEX,2013-09-09,FEES,FEES,FEES,0.43,3
IMOEX,2013-09-09,GAZP,GAZP,GAZP,17.01,3
IMOEX,2013-09-09,GMKN,GMKN,GMKN,3.52,3
IMOEX,2013-09-09,HYDR,HYDR,HYDR,0.91,3
IMOEX,2013-09-09,IRAO,IRAO,IRAO,0.34,3
IMOEX,2013-09-09,LKOH,LKOH,LKOH,14.06,3
IMOEX,2013-09-09,LSRG,LSRG,LSRG,0.31,3
IMOEX,2013-09-09,MAGN,MAGN,MAGN,0.2,3
IMOEX,2013-09-09,MGNT,MGNT,MGNT,5.75,3
IMOEX,2013-09-09,MOEX,MOEX,MOEX,0.6,3
IMOEX,2013-09-09,MRKH,MRKH,MRKH,0.22,3
IMOEX,2013-09-09,MSNG,MSNG,MSNG,0.1,3
IMOEX,2013-09-09,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-09-09,MSTT,MSTT,MSTT,0.18,3
IMOEX,2013-09-09,MTLR,MTLR,MTLR,0.24,3
IMOEX,2013-09-09,MTLRP,MTLRP,MTLRP,0.1,3
IMOEX,2013-09-09,MTSS,MTSS,MTSS,4.7,3
IMOEX,2013-09-09,MVID,MVID,MVID,0.19,3
IMOEX,2013-09-09,NLMK,NLMK,NLMK,0.72,3
IMOEX,2013-09-09,NMTP,NMTP,NMTP,0.31,3
IMOEX,2013-09-09,NVTK,NVTK,NVTK,4.9,3
IMOEX,2013-09-09,PHOR,PHOR,PHOR,0.18,3
IMOEX,2013-09-09,PHST,PHST,PHST,0.4,3
IMOEX,2013-09-09,PIKK,PIKK,PIKK,0.16,3
IMOEX,2013-09-09,RASP,RASP,RASP,0.06,3
IMOEX,2013-09-09,ROSN,ROSN,ROSN,5.17,3
IMOEX,2013-09-09,RTKM,RTKM,RTKM,2.04,3
IMOEX,2013-09-09,RTKMP,RTKMP,RTKMP,0.27,3
IMOEX,2013-09-09,RUALR,RUALR,RUALR,0.25,3
IMOEX,2013-09-09,SBER,SBER,SBER,12.46,3
IMOEX,2013-09-09,SBERP,SBERP,SBERP,0.93,3
IMOEX,2013-09-09,SNGS,SNGS,SNGS,3.55,3
IMOEX,2013-09-09,SNGSP,SNGSP,SNGSP,1.84,3
IMOEX,2013-09-09,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-09-09,TATN,TATN,TATN,2.37,3
IMOEX,2013-09-09,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-09-09,TRMK,TRMK,TRMK,0.34,3
IMOEX,2013-09-09,TRNFP,TRNFP,TRNFP,1.97,3
IMOEX,2013-09-09,URKA,URKA,URKA,3.61,3
IMOEX,2013-09-09,VSMO,VSMO,VSMO,0.3,3
IMOEX,2013-09-09,VTBR,VTBR,VTBR,3.46,3
