indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-11-12,AFKS,AFKS,AFKS,1.87,3
IMOEX,2013-11-12,AFLT,AFLT,AFLT,0.29,3
IMOEX,2013-11-12,ALRS,ALRS,ALRS,0.34,3
IMOEX,2013-11-12,BANE,BANE,BANE,0.6,3
IMOEX,2013-11-12,BANEP,BANEP,BANEP,0.69,3
IMOEX,2013-11-12,CHMF,CHMF,CHMF,0.72,3
IMOEX,2013-11-12,DIXY,DIXY,DIXY,0.24,3
IMOEX,2013-11-12,EONR,EONR,EONR,0.39,3
IMOEX,2013-11-12,FEES,FEES,FEES,0.33,3
IMOEX,2013-11-12,GAZP,GAZP,GAZP,15.28,3
IMOEX,2013-11-12,GMKN,GMKN,GMKN,3.28,3
IMOEX,2013-11-12,HYDR,HYDR,HYDR,0.85,3
IMOEX,2013-11-12,IRAO,IRAO,IRAO,0.23,3
IMOEX,2013-11-12,LKOH,LKOH,LKOH,13.81,3
IMOEX,2013-11-12,LSRG,LSRG,LSRG,0.27,3
IMOEX,2013-11-12,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-11-12,MFON,MFON,MFON,1.54,3
IMOEX,2013-11-12,MGNT,MGNT,MGNT,6.14,3
IMOEX,2013-11-12,MOEX,MOEX,MOEX,0.55,3
IMOEX,2013-11-12,MRKH,MRKH,MRKH,0.19,3
IMOEX,2013-11-12,MSNG,MSNG,MSNG,0.07,3
IMOEX,2013-11-12,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-11-12,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-11-12,MTLR,MTLR,MTLR,0.2,3
IMOEX,2013-11-12,MTLRP,MTLRP,MTLRP,0.08,3
IMOEX,2013-11-12,MTSS,MTSS,MTSS,4.69,3
IMOEX,2013-11-12,MVID,MVID,MVID,0.19,3
IMOEX,2013-11-12,NLMK,NLMK,NLMK,0.63,3
IMOEX,2013-11-12,NMTP,NMTP,NMTP,0.23,3
IMOEX,2013-11-12,NVTK,NVTK,NVTK,4.84,3
IMOEX,2013-11-12,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-11-12,PHST,PHST,PHST,0.23,3
IMOEX,2013-11-12,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-11-12,POLY,POLY,POLY,0.78,3
IMOEX,2013-11-12,ROSN,ROSN,ROSN,4.47,3
IMOEX,2013-11-12,RTKM,RTKM,RTKM,1.97,3
IMOEX,2013-11-12,RTKMP,RTKMP,RTKMP,0.23,3
IMOEX,2013-11-12,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-11-12,SBER,SBER,SBER,14.81,3
IMOEX,2013-11-12,SBERP,SBERP,SBERP,1.14,3
IMOEX,2013-11-12,SNGS,SNGS,SNGS,3.47,3
IMOEX,2013-11-12,SNGSP,SNGSP,SNGSP,1.83,3
IMOEX,2013-11-12,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-11-12,TATN,TATN,TATN,2.1,3
IMOEX,2013-11-12,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-11-12,TRMK,TRMK,TRMK,0.33,3
IMOEX,2013-11-12,TRNFP,TRNFP,TRNFP,1.85,3
IMOEX,2013-11-12,URKA,URKA,URKA,2.96,3
IMOEX,2013-11-12,VSMO,VSMO,VSMO,0.33,3
IMOEX,2013-11-12,VTBR,VTBR,VTBR,3.28,3
