indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-11-14,AFKS,AFKS,AFKS,1.9,3
IMOEX,2013-11-14,AFLT,AFLT,AFLT,0.3,3
IMOEX,2013-11-14,ALRS,ALRS,ALRS,0.34,3
IMOEX,2013-11-14,BANE,BANE,BANE,0.62,3
IMOEX,2013-11-14,BANEP,BANEP,BANEP,0.7,3
IMOEX,2013-11-14,CHMF,CHMF,CHMF,0.7,3
IMOEX,2013-11-14,DIXY,DIXY,DIXY,0.24,3
IMOEX,2013-11-14,EONR,EONR,EONR,0.39,3
IMOEX,2013-11-14,FEES,FEES,FEES,0.32,3
IMOEX,2013-11-14,GAZP,GAZP,GAZP,15.39,3
IMOEX,2013-11-14,GMKN,GMKN,GMKN,3.26,3
IMOEX,2013-11-14,HYDR,HYDR,HYDR,0.86,3
IMOEX,2013-11-14,IRAO,IRAO,IRAO,0.22,3
IMOEX,2013-11-14,LKOH,LKOH,LKOH,13.9,3
IMOEX,2013-11-14,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-11-14,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-11-14,MFON,MFON,MFON,1.5,3
IMOEX,2013-11-14,MGNT,MGNT,MGNT,6.13,3
IMOEX,2013-11-14,MOEX,MOEX,MOEX,0.55,3
IMOEX,2013-11-14,MRKH,MRKH,MRKH,0.18,3
IMOEX,2013-11-14,MSNG,MSNG,MSNG,0.07,3
IMOEX,2013-11-14,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-11-14,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-11-14,MTLR,MTLR,MTLR,0.13,3
IMOEX,2013-11-14,MTLRP,MTLRP,MTLRP,0.07,3
IMOEX,2013-11-14,MTSS,MTSS,MTSS,4.63,3
IMOEX,2013-11-14,MVID,MVID,MVID,0.19,3
IMOEX,2013-11-14,NLMK,NLMK,NLMK,0.61,3
IMOEX,2013-11-14,NMTP,NMTP,NMTP,0.23,3
IMOEX,2013-11-14,NVTK,NVTK,NVTK,4.87,3
IMOEX,2013-11-14,PHOR,PHOR,PHOR,0.34,3
IMOEX,2013-11-14,PHST,PHST,PHST,0.23,3
IMOEX,2013-11-14,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-11-14,POLY,POLY,POLY,0.8,3
IMOEX,2013-11-14,ROSN,ROSN,ROSN,4.46,3
IMOEX,2013-11-14,RTKM,RTKM,RTKM,1.98,3
IMOEX,2013-11-14,RTKMP,RTKMP,RTKMP,0.24,3
IMOEX,2013-11-14,RUALR,RUALR,RUALR,0.21,3
IMOEX,2013-11-14,SBER,SBER,SBER,14.82,3
IMOEX,2013-11-14,SBERP,SBERP,SBERP,1.15,3
IMOEX,2013-11-14,SNGS,SNGS,SNGS,3.47,3
IMOEX,2013-11-14,SNGSP,SNGSP,SNGSP,1.84,3
IMOEX,2013-11-14,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-11-14,TATN,TATN,TATN,2.07,3
IMOEX,2013-11-14,TATNP,TATNP,TATNP,0.24,3
IMOEX,2013-11-14,TRMK,TRMK,TRMK,0.34,3
IMOEX,2013-11-14,TRNFP,TRNFP,TRNFP,1.86,3
IMOEX,2013-11-14,URKA,URKA,URKA,2.94,3
IMOEX,2013-11-14,VSMO,VSMO,VSMO,0.36,3
IMOEX,2013-11-14,VTBR,VTBR,VTBR,3.2,3
