indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-11-05,AFKS,AFKS,AFKS,1.83,3
IMOEX,2013-11-05,AFLT,AFLT,AFLT,0.29,3
IMOEX,2013-11-05,ALRS,ALRS,ALRS,0.33,3
IMOEX,2013-11-05,BANE,BANE,BANE,0.57,3
IMOEX,2013-11-05,BANEP,BANEP,BANEP,0.69,3
IMOEX,2013-11-05,CHMF,CHMF,CHMF,0.71,3
IMOEX,2013-11-05,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-11-05,EONR,EONR,EONR,0.4,3
IMOEX,2013-11-05,FEES,FEES,FEES,0.36,3
IMOEX,2013-11-05,GAZP,GAZP,GAZP,15.45,3
IMOEX,2013-11-05,GMKN,GMKN,GMKN,3.3,3
IMOEX,2013-11-05,HYDR,HYDR,HYDR,0.85,3
IMOEX,2013-11-05,IRAO,IRAO,IRAO,0.25,3
IMOEX,2013-11-05,LKOH,LKOH,LKOH,13.86,3
IMOEX,2013-11-05,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-11-05,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-11-05,MFON,MFON,MFON,1.53,3
IMOEX,2013-11-05,MGNT,MGNT,MGNT,6.08,3
IMOEX,2013-11-05,MOEX,MOEX,MOEX,0.51,3
IMOEX,2013-11-05,MRKH,MRKH,MRKH,0.21,3
IMOEX,2013-11-05,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-11-05,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-11-05,MSTT,MSTT,MSTT,0.18,3
IMOEX,2013-11-05,MTLR,MTLR,MTLR,0.21,3
IMOEX,2013-11-05,MTLRP,MTLRP,MTLRP,0.08,3
IMOEX,2013-11-05,MTSS,MTSS,MTSS,4.8,3
IMOEX,2013-11-05,MVID,MVID,MVID,0.18,3
IMOEX,2013-11-05,NLMK,NLMK,NLMK,0.65,3
IMOEX,2013-11-05,NMTP,NMTP,NMTP,0.23,3
IMOEX,2013-11-05,NVTK,NVTK,NVTK,4.8,3
IMOEX,2013-11-05,PHOR,PHOR,PHOR,0.32,3
IMOEX,2013-11-05,PHST,PHST,PHST,0.25,3
IMOEX,2013-11-05,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-11-05,POLY,POLY,POLY,0.85,3
IMOEX,2013-11-05,ROSN,ROSN,ROSN,4.48,3
IMOEX,2013-11-05,RTKM,RTKM,RTKM,1.94,3
IMOEX,2013-11-05,RTKMP,RTKMP,RTKMP,0.23,3
IMOEX,2013-11-05,RUALR,RUALR,RUALR,0.21,3
IMOEX,2013-11-05,SBER,SBER,SBER,14.5,3
IMOEX,2013-11-05,SBERP,SBERP,SBERP,1.12,3
IMOEX,2013-11-05,SNGS,SNGS,SNGS,3.52,3
IMOEX,2013-11-05,SNGSP,SNGSP,SNGSP,1.86,3
IMOEX,2013-11-05,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-11-05,TATN,TATN,TATN,2.16,3
IMOEX,2013-11-05,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-11-05,TRMK,TRMK,TRMK,0.33,3
IMOEX,2013-11-05,TRNFP,TRNFP,TRNFP,1.83,3
IMOEX,2013-11-05,URKA,URKA,URKA,3.01,3
IMOEX,2013-11-05,VSMO,VSMO,VSMO,0.31,3
IMOEX,2013-11-05,VTBR,VTBR,VTBR,3.17,3
