indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-24,AFKS,AFKS,AFKS,2.34,3
IMOEX,2013-12-24,AFLT,AFLT,AFLT,0.44,3
IMOEX,2013-12-24,ALRS,ALRS,ALRS,0.86,3
IMOEX,2013-12-24,BANE,BANE,BANE,0.66,3
IMOEX,2013-12-24,BANEP,BANEP,BANEP,0.8,3
IMOEX,2013-12-24,BSPB,BSPB,BSPB,0.11,3
IMOEX,2013-12-24,CHMF,CHMF,CHMF,0.81,3
IMOEX,2013-12-24,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-24,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-24,FEES,FEES,FEES,0.35,3
IMOEX,2013-12-24,GAZP,GAZP,GAZP,14.55,3
IMOEX,2013-12-24,GMKN,GMKN,GMKN,3.75,3
IMOEX,2013-12-24,HYDR,HYDR,HYDR,0.93,3
IMOEX,2013-12-24,IRAO,IRAO,IRAO,0.27,3
IMOEX,2013-12-24,KMAZ,KMAZ,KMAZ,0.08,3
IMOEX,2013-12-24,LKOH,LKOH,LKOH,13.03,3
IMOEX,2013-12-24,LSRG,LSRG,LSRG,0.3,3
IMOEX,2013-12-24,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-24,MFON,MFON,MFON,1.49,3
IMOEX,2013-12-24,MGNT,MGNT,MGNT,6.29,3
IMOEX,2013-12-24,MOEX,MOEX,MOEX,0.83,3
IMOEX,2013-12-24,MRKH,MRKH,MRKH,0.26,3
IMOEX,2013-12-24,MSRS,MSRS,MSRS,0.12,3
IMOEX,2013-12-24,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-12-24,MTLR,MTLR,MTLR,0.15,3
IMOEX,2013-12-24,MTLRP,MTLRP,MTLRP,0.05,3
IMOEX,2013-12-24,MTSS,MTSS,MTSS,4.89,3
IMOEX,2013-12-24,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-24,NLMK,NLMK,NLMK,0.67,3
IMOEX,2013-12-24,NMTP,NMTP,NMTP,0.12,3
IMOEX,2013-12-24,NVTK,NVTK,NVTK,4.89,3
IMOEX,2013-12-24,PHOR,PHOR,PHOR,0.35,3
IMOEX,2013-12-24,PIKK,PIKK,PIKK,0.29,3
IMOEX,2013-12-24,POLY,POLY,POLY,0.8,3
IMOEX,2013-12-24,ROSN,ROSN,ROSN,4.63,3
IMOEX,2013-12-24,RTKM,RTKM,RTKM,1.36,3
IMOEX,2013-12-24,RTKMP,RTKMP,RTKMP,0.18,3
IMOEX,2013-12-24,RUALR,RUALR,RUALR,0.23,3
IMOEX,2013-12-24,SBER,SBER,SBER,13.52,3
IMOEX,2013-12-24,SBERP,SBERP,SBERP,1.03,3
IMOEX,2013-12-24,SNGS,SNGS,SNGS,3.36,3
IMOEX,2013-12-24,SNGSP,SNGSP,SNGSP,1.94,3
IMOEX,2013-12-24,SVAV,SVAV,SVAV,0.15,3
IMOEX,2013-12-24,TATN,TATN,TATN,2.15,3
IMOEX,2013-12-24,TATNP,TATNP,TATNP,0.26,3
IMOEX,2013-12-24,TRMK,TRMK,TRMK,0.36,3
IMOEX,2013-12-24,TRNFP,TRNFP,TRNFP,1.97,3
IMOEX,2013-12-24,URKA,URKA,URKA,3.15,3
IMOEX,2013-12-24,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-12-24,VTBR,VTBR,VTBR,3.63,3
