indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2014-01-08,AFKS,AFKS,AFKS,2.35,3
IMOEX,2014-01-08,AFLT,AFLT,AFLT,0.45,3
IMOEX,2014-01-08,ALRS,ALRS,ALRS,0.85,3
IMOEX,2014-01-08,BANE,BANE,BANE,0.68,3
IMOEX,2014-01-08,BANEP,BANEP,BANEP,0.83,3
IMOEX,2014-01-08,BSPB,BSPB,BSPB,0.11,3
IMOEX,2014-01-08,CHMF,CHMF,CHMF,0.8,3
IMOEX,2014-01-08,DIXY,DIXY,DIXY,0.25,3
IMOEX,2014-01-08,EONR,EONR,EONR,0.41,3
IMOEX,2014-01-08,FEES,FEES,FEES,0.36,3
IMOEX,2014-01-08,GAZP,GAZP,GAZP,14.53,3
IMOEX,2014-01-08,GMKN,GMKN,GMKN,3.7,3
IMOEX,2014-01-08,HYDR,HYDR,HYDR,0.92,3
IMOEX,2014-01-08,IRAO,IRAO,IRAO,0.28,3
IMOEX,2014-01-08,KMAZ,KMAZ,KMAZ,0.08,3
IMOEX,2014-01-08,LKOH,LKOH,LKOH,13.05,3
IMOEX,2014-01-08,LSRG,LSRG,LSRG,0.31,3
IMOEX,2014-01-08,MAGN,MAGN,MAGN,0.17,3
IMOEX,2014-01-08,MFON,MFON,MFON,1.49,3
IMOEX,2014-01-08,MGNT,MGNT,MGNT,6.42,3
IMOEX,2014-01-08,MOEX,MOEX,MOEX,0.87,3
IMOEX,2014-01-08,MSRS,MSRS,MSRS,0.12,3
IMOEX,2014-01-08,MSTT,MSTT,MSTT,0.19,3
IMOEX,2014-01-08,MTLR,MTLR,MTLR,0.14,3
IMOEX,2014-01-08,MTLRP,MTLRP,MTLRP,0.04,3
IMOEX,2014-01-08,MTSS,MTSS,MTSS,4.82,3
IMOEX,2014-01-08,MVID,MVID,MVID,0.22,3
IMOEX,2014-01-08,NLMK,NLMK,NLMK,0.67,3
IMOEX,2014-01-08,NMTP,NMTP,NMTP,0.12,3
IMOEX,2014-01-08,NVTK,NVTK,NVTK,4.83,3
IMOEX,2014-01-08,PHOR,PHOR,PHOR,0.35,3
IMOEX,2014-01-08,PIKK,PIKK,PIKK,0.29,3
IMOEX,2014-01-08,POLY,POLY,POLY,0.91,3
IMOEX,2014-01-08,ROSN,ROSN,ROSN,4.66,3
IMOEX,2014-01-08,RSTI,RSTI,RSTI,0.26,3
IMOEX,2014-01-08,RTKM,RTKM,RTKM,1.38,3
IMOEX,2014-01-08,RTKMP,RTKMP,RTKMP,0.19,3
IMOEX,2014-01-08,RUALR,RUALR,RUALR,0.23,3
IMOEX,2014-01-08,SBER,SBER,SBER,13.41,3
IMOEX,2014-01-08,SBERP,SBERP,SBERP,1.03,3
IMOEX,2014-01-08,SNGS,SNGS,SNGS,3.34,3
IMOEX,2014-01-08,SNGSP,SNGSP,SNGSP,1.94,3
IMOEX,2014-01-08,SVAV,SVAV,SVAV,0.14,3
IMOEX,2014-01-08,TATN,TATN,TATN,2.08,3
IMOEX,2014-01-08,TATNP,TATNP,TATNP,0.26,3
IMOEX,2014-01-08,TRMK,TRMK,TRMK,0.37,3
IMOEX,2014-01-08,TRNFP,TRNFP,TRNFP,1.95,3
IMOEX,2014-01-08,URKA,URKA,URKA,3.08,3
IMOEX,2014-01-08,VSMO,VSMO,VSMO,0.38,3
IMOEX,2014-01-08,VTBR,VTBR,VTBR,3.66,3
