indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2014-01-21,AFKS,AFKS,AFKS,44.7,9650000000,431355000000.0,0.36,1.0,3474000000,155287800000.0,2.28,234085452.6,1920,0.0146,0.0036,0.5825,-0.02,0.1206,RUB,3
IMOEX,2014-01-21,AFLT,AFLT,AFLT,81.35,1110616299,90348635923.65,0.32,1.0,355397216,28911563495.57,0.43,661276098.0,9761,0.0239,0.0071,0.6778,-0.02,0.0605,RUB,3
IMOEX,2014-01-21,ALRS,ALRS,ALRS,33.7,7364965630,248199341731.0,0.23,1.0,1693942095,57085848598.13,0.84,103071634.8,1454,0.0164,-0.0012,1.0152,0.02,0.2878,RUB,3
IMOEX,2014-01-21,BANE,BANE,BANE,2135.0,188710587,402897103245.0,0.12,1.0,22645270,48347652389.4,0.71,106077351.2,1142,0.0161,0.0037,0.9948,-0.01,0.2861,RUB,3
IMOEX,2014-01-21,BANEP,BANEP,BANEP,1460.3,38673878,56475464043.4,1.0,1.0,38673878,56475464043.4,0.83,11679242.6,878,0.0153,0.0036,0.8929,0.0,0.2578,RUB,3
IMOEX,2014-01-21,BSPB,BSPB,BSPB,41.9,439554000,18417312600.0,0.41,1.0,180217140,7551098166.0,0.11,1031416.4,372,0.017,-0.0018,0.7522,0.0,0.1467,RUB,3
IMOEX,2014-01-21,CHMF,CHMF,CHMF,310.7,837718660,260279187662.0,0.21,1.0,175920919,54658629409.02,0.8,352079798.0,4412,0.0182,0.0014,1.4871,0.01,0.5032,RUB,3
IMOEX,2014-01-21,DIXY,DIXY,DIXY,378.05,124750000,47161737500.0,0.33,1.0,41167500,15563373375.0,0.23,22131246.5,980,0.0137,-0.0025,0.5312,-0.01,0.1138,RUB,3
IMOEX,2014-01-21,EONR,EONR,EONR,2.48,63048706145,156360791239.6,0.18,1.0,11348767106,28144942423.13,0.41,53451285.7,804,0.0116,0.0,0.3326,0.0,0.0623,RUB,3
IMOEX,2014-01-21,FEES,FEES,FEES,0.0912,1267141015996,115537917838.52,0.21,1.0,266099613359,24262962746.09,0.36,181088057.7,5863,0.0281,-0.0005,1.3371,0.0,0.1706,RUB,3
IMOEX,2014-01-21,GAZP,GAZP,GAZP,145.7,23673512900,3449230829530.0,0.46,0.6422378,6993851428,1019004153038.78,14.99,12304483675.7,69195,0.0142,-0.0005,1.2937,0.62,0.6217,RUB,3
IMOEX,2014-01-21,GMKN,GMKN,GMKN,5596.0,158245476,885541683696.0,0.3,1.0,47473643,265662505108.8,3.91,1564520708.0,8597,0.0116,0.0029,0.6469,0.04,0.2326,RUB,3
IMOEX,2014-01-21,HYDR,HYDR,HYDR,0.5644,317637520094,179274616341.05,0.34,1.0,107996756832,60953369555.96,0.9,150547724.7,5137,0.0112,0.0003,0.6808,0.0,0.2776,RUB,3
IMOEX,2014-01-21,IRAO,IRAO,IRAO,0.0105,10440000997683,109755730488.64,0.18,1.0,1879200179583,19756031487.96,0.29,582355385.0,15145,0.0336,0.004,1.6553,0.0,0.1827,RUB,3
IMOEX,2014-01-21,KMAZ,KMAZ,KMAZ,54.29,707229559,38395492758.11,0.15,1.0,106084434,5759323913.72,0.08,5736750.0,287,0.0312,0.0009,0.1262,0.01,0.0012,RUB,3
IMOEX,2014-01-21,LKOH,LKOH,LKOH,2000.5,850563255,1701551791627.5,0.57,0.9083526,440388466,880997126556.88,12.96,1745710452.6,10778,0.0087,-0.0009,0.8517,0.01,0.7282,RUB,3
IMOEX,2014-01-21,LSRG,LSRG,LSRG,605.0,103030215,62333280075.0,0.33,1.0,33999971,20569982424.75,0.3,4680529.2,593,0.0198,0.0009,1.2758,0.0,0.3113,RUB,3
IMOEX,2014-01-21,MAGN,MAGN,MAGN,7.67,11174330000,85707111100.0,0.14,1.0,1564406200,11998995554.0,0.18,40599251.4,1611,0.0137,-0.0009,1.0355,0.0,0.4295,RUB,3
IMOEX,2014-01-21,MFON,MFON,MFON,1064.0,620000000,659680000000.0,0.15,1.0,93000000,98952000000.0,1.46,18035044.0,390,0.0197,-0.0018,1.042,0.02,0.2115,RUB,3
IMOEX,2014-01-21,MGNT,MGNT,MGNT,8413.2,94561355,795563591886.0,0.54,0.9083526,46383328,390232218863.38,5.74,2168803180.2,16943,0.02,-0.0006,1.0196,-0.21,0.1962,RUB,3
IMOEX,2014-01-21,MOEX,MOEX,MOEX,64.33,2378489153,153008207212.49,0.37,1.0,880040987,56613036668.62,0.83,100633442.7,1832,0.015,0.0012,0.636,0.01,0.1353,RUB,3
IMOEX,2014-01-21,MSRS,MSRS,MSRS,1.32,48707091574,64293360877.68,0.12,1.0,5844850989,7715203305.32,0.11,9550657.8,338,0.0226,0.0019,1.3687,0.0,0.2773,RUB,3
IMOEX,2014-01-21,MSTT,MSTT,MSTT,130.23,282215500,36752924565.0,0.34,1.0,95953270,12495994352.1,0.18,9490567.0,386,0.024,-0.0008,0.9082,0.0,0.108,RUB,3
IMOEX,2014-01-21,MTLR,MTLR,MTLR,65.1,416270745,27099225499.5,0.35,1.0,145694761,9484728924.82,0.14,71884882.5,2581,0.0516,-0.0078,2.4225,0.0,0.1663,RUB,3
IMOEX,2014-01-21,MTLRP,MTLRP,MTLRP,35.2,138756915,4884243408.0,0.6,1.0,83254149,2930546044.8,0.04,4293554.7,689,0.0458,-0.0048,2.9906,0.0,0.3214,RUB,3
IMOEX,2014-01-21,MTSS,MTSS,MTSS,312.17,2066413562,645072321649.54,0.49,1.0,1012542645,316085437608.27,4.65,320632227.5,4840,0.0139,-0.001,1.1339,0.0,0.5006,RUB,3
IMOEX,2014-01-21,MVID,MVID,MVID,261.0,179768227,46919507247.0,0.26,1.0,46739739,12199071884.22,0.18,73158470.4,1384,0.0178,-0.0013,0.0701,-0.01,0.0012,RUB,3
IMOEX,2014-01-21,NLMK,NLMK,NLMK,56.01,5993227240,335680657712.4,0.14,1.0,839051814,46995292079.74,0.69,155230353.6,3344,0.0167,0.0006,1.3963,0.01,0.525,RUB,3
IMOEX,2014-01-21,NMTP,NMTP,NMTP,2.8394,19259815400,54686319846.76,0.15,1.0,2888972310,8202947977.01,0.12,2057547.6,252,0.0261,-0.0033,1.2073,0.0,0.1616,RUB,3
IMOEX,2014-01-21,NVTK,NVTK,NVTK,405.8,3036306000,1232132974800.0,0.27,1.0,819802620,332675903196.0,4.89,477488492.5,5710,0.0119,-0.0003,0.8308,0.01,0.3675,RUB,3
IMOEX,2014-01-21,PHOR,PHOR,PHOR,1080.1,129500000,139872950000.0,0.19,1.0,24605000,26575860500.0,0.39,28107798.1,718,0.0162,0.0026,0.9719,0.01,0.2715,RUB,3
IMOEX,2014-01-21,PIKK,PIKK,PIKK,68.8,660497344,45442217267.2,0.42,1.0,277408884,19085731252.22,0.28,6812601.8,555,0.0173,0.002,0.764,0.0,0.1472,RUB,3
IMOEX,2014-01-21,POLY,POLY,POLY,316.5,389472865,123268161772.5,0.5,1.0,194736433,61634080886.25,0.91,27520015.71,954,0.0326,0.0012,0.5399,0.01,0.0206,RUB,3
IMOEX,2014-01-21,ROSN,ROSN,ROSN,250.35,10598177817,2653253816485.95,0.12,1.0,1271781338,318390457978.31,4.68,1330117968.3,11000,0.0112,0.0002,0.9878,0.02,0.5906,RUB,3
IMOEX,2014-01-21,RSTI,RSTI,RSTI,0.777,161078853310,125158269021.87,0.14,1.0,22551039463,17522157663.06,0.26,239838667.0,3953,0.03,-0.001,1.338,0.0,0.1494,RUB,3
IMOEX,2014-01-21,RTKM,RTKM,RTKM,113.27,2669204301,302340771174.27,0.31,1.0,827453333,93725639064.02,1.38,122034552.4,3025,0.0124,-0.0006,0.5702,0.01,0.1603,RUB,3
IMOEX,2014-01-21,RTKMP,RTKMP,RTKMP,76.1,242831469,18479474790.9,0.7,1.0,169982028,12935632353.63,0.19,35715089.0,645,0.0124,-0.0002,0.3414,0.0,0.0567,RUB,3
IMOEX,2014-01-21,RUALR,RUALR,RUALR,115.5,2000000000,231000000000.0,0.08,1.0,160000000,18480000000.0,0.27,28665053.8,1395,0.0328,0.0046,1.7439,0.02,0.2125,RUB,3
IMOEX,2014-01-21,SBER,SBER,SBER,102.2,21586948000,2206186085600.0,0.48,0.8711671,9026802666,922539232441.2,13.57,6340162289.1,28159,0.0111,-0.0002,1.1675,-0.01,0.8301,RUB,3
IMOEX,2014-01-21,SBERP,SBERP,SBERP,81.23,1000000000,81230000000.0,1.0,0.8711671,871167100,70764903533.0,1.04,451258490.0,3891,0.0086,-0.0005,0.6294,0.0,0.4057,RUB,3
IMOEX,2014-01-21,SNGS,SNGS,SNGS,27.972,35725994705,999327523888.26,0.25,0.9083526,8112950044,226935438643.86,3.34,378463401.2,4440,0.0112,-0.0005,1.0497,0.01,0.6589,RUB,3
IMOEX,2014-01-21,SNGSP,SNGSP,SNGSP,25.939,7701998235,199782132217.67,0.73,0.9083526,5107174989,132475012040.43,1.95,548782338.0,5180,0.0115,0.0017,0.9439,0.0,0.5094,RUB,3
IMOEX,2014-01-21,SVAV,SVAV,SVAV,757.7,34270159,25966499474.3,0.34,1.0,11651854,8828609821.26,0.13,2625974.0,97,0.0167,0.0006,1.0306,0.0,0.2856,RUB,3
IMOEX,2014-01-21,TATN,TATN,TATN,200.39,2178690700,436587829373.0,0.32,1.0,697181024,139708105399.36,2.05,176560224.1,3844,0.0133,-0.0017,1.1254,0.01,0.5364,RUB,3
