indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2014-01-15,AFKS,AFKS,AFKS,2.28,3
IMOEX,2014-01-15,AFLT,AFLT,AFLT,0.44,3
IMOEX,2014-01-15,ALRS,ALRS,ALRS,0.81,3
IMOEX,2014-01-15,BANE,BANE,BANE,0.71,3
IMOEX,2014-01-15,BANEP,BANEP,BANEP,0.83,3
IMOEX,2014-01-15,BSPB,BSPB,BSPB,0.11,3
IMOEX,2014-01-15,CHMF,CHMF,CHMF,0.81,3
IMOEX,2014-01-15,DIXY,DIXY,DIXY,0.25,3
IMOEX,2014-01-15,EONR,EONR,EONR,0.42,3
IMOEX,2014-01-15,FEES,FEES,FEES,0.37,3
IMOEX,2014-01-15,GAZP,GAZP,GAZP,14.31,3
IMOEX,2014-01-15,GMKN,GMKN,GMKN,3.84,3
IMOEX,2014-01-15,HYDR,HYDR,HYDR,0.92,3
IMOEX,2014-01-15,IRAO,IRAO,IRAO,0.27,3
IMOEX,2014-01-15,KMAZ,KMAZ,KMAZ,0.08,3
IMOEX,2014-01-15,LKOH,LKOH,LKOH,13.11,3
IMOEX,2014-01-15,LSRG,LSRG,LSRG,0.31,3
IMOEX,2014-01-15,MAGN,MAGN,MAGN,0.17,3
IMOEX,2014-01-15,MFON,MFON,MFON,1.45,3
IMOEX,2014-01-15,MGNT,MGNT,MGNT,6.15,3
IMOEX,2014-01-15,MOEX,MOEX,MOEX,0.85,3
IMOEX,2014-01-15,MSRS,MSRS,MSRS,0.11,3
IMOEX,2014-01-15,MSTT,MSTT,MSTT,0.19,3
IMOEX,2014-01-15,MTLR,MTLR,MTLR,0.14,3
IMOEX,2014-01-15,MTLRP,MTLRP,MTLRP,0.04,3
IMOEX,2014-01-15,MTSS,MTSS,MTSS,4.79,3
IMOEX,2014-01-15,MVID,MVID,MVID,0.21,3
IMOEX,2014-01-15,NLMK,NLMK,NLMK,0.69,3
IMOEX,2014-01-15,NMTP,NMTP,NMTP,0.12,3
IMOEX,2014-01-15,NVTK,NVTK,NVTK,4.89,3
IMOEX,2014-01-15,PHOR,PHOR,PHOR,0.37,3
IMOEX,2014-01-15,PIKK,PIKK,PIKK,0.3,3
IMOEX,2014-01-15,POLY,POLY,POLY,0.82,3
IMOEX,2014-01-15,ROSN,ROSN,ROSN,4.66,3
IMOEX,2014-01-15,RSTI,RSTI,RSTI,0.26,3
IMOEX,2014-01-15,RTKM,RTKM,RTKM,1.38,3
IMOEX,2014-01-15,RTKMP,RTKMP,RTKMP,0.19,3
IMOEX,2014-01-15,RUALR,RUALR,RUALR,0.24,3
IMOEX,2014-01-15,SBER,SBER,SBER,13.54,3
IMOEX,2014-01-15,SBERP,SBERP,SBERP,1.03,3
IMOEX,2014-01-15,SNGS,SNGS,SNGS,3.4,3
IMOEX,2014-01-15,SNGSP,SNGSP,SNGSP,1.97,3
IMOEX,2014-01-15,SVAV,SVAV,SVAV,0.14,3
IMOEX,2014-01-15,TATN,TATN,TATN,2.06,3
IMOEX,2014-01-15,TATNP,TATNP,TATNP,0.28,3
IMOEX,2014-01-15,TRMK,TRMK,TRMK,0.37,3
IMOEX,2014-01-15,TRNFP,TRNFP,TRNFP,1.94,3
IMOEX,2014-01-15,URKA,URKA,URKA,3.29,3
IMOEX,2014-01-15,VSMO,VSMO,VSMO,0.38,3
IMOEX,2014-01-15,VTBR,VTBR,VTBR,3.69,3
