indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-20,AFKS,AFKS,AFKS,2.26,3
IMOEX,2013-12-20,AFLT,AFLT,AFLT,0.42,3
IMOEX,2013-12-20,ALRS,ALRS,ALRS,0.87,3
IMOEX,2013-12-20,BANE,BANE,BANE,0.67,3
IMOEX,2013-12-20,BANEP,BANEP,BANEP,0.79,3
IMOEX,2013-12-20,BSPB,BSPB,BSPB,0.11,3
IMOEX,2013-12-20,CHMF,CHMF,CHMF,0.82,3
IMOEX,2013-12-20,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-20,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-20,FEES,FEES,FEES,0.35,3
IMOEX,2013-12-20,GAZP,GAZP,GAZP,14.63,3
IMOEX,2013-12-20,GMKN,GMKN,GMKN,3.77,3
IMOEX,2013-12-20,HYDR,HYDR,HYDR,0.94,3
IMOEX,2013-12-20,IRAO,IRAO,IRAO,0.28,3
IMOEX,2013-12-20,KMAZ,KMAZ,KMAZ,0.08,3
IMOEX,2013-12-20,LKOH,LKOH,LKOH,13.23,3
IMOEX,2013-12-20,LSRG,LSRG,LSRG,0.29,3
IMOEX,2013-12-20,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-20,MFON,MFON,MFON,1.47,3
IMOEX,2013-12-20,MGNT,MGNT,MGNT,6.14,3
IMOEX,2013-12-20,MOEX,MOEX,MOEX,0.82,3
IMOEX,2013-12-20,MRKH,MRKH,MRKH,0.26,3
IMOEX,2013-12-20,MSRS,MSRS,MSRS,0.12,3
IMOEX,2013-12-20,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-12-20,MTLR,MTLR,MTLR,0.14,3
IMOEX,2013-12-20,MTLRP,MTLRP,MTLRP,0.04,3
IMOEX,2013-12-20,MTSS,MTSS,MTSS,4.85,3
IMOEX,2013-12-20,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-20,NLMK,NLMK,NLMK,0.68,3
IMOEX,2013-12-20,NMTP,NMTP,NMTP,0.12,3
IMOEX,2013-12-20,NVTK,NVTK,NVTK,4.84,3
IMOEX,2013-12-20,PHOR,PHOR,PHOR,0.35,3
IMOEX,2013-12-20,PIKK,PIKK,PIKK,0.29,3
IMOEX,2013-12-20,POLY,POLY,POLY,0.75,3
IMOEX,2013-12-20,ROSN,ROSN,ROSN,4.58,3
IMOEX,2013-12-20,RTKM,RTKM,RTKM,1.36,3
IMOEX,2013-12-20,RTKMP,RTKMP,RTKMP,0.18,3
IMOEX,2013-12-20,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-12-20,SBER,SBER,SBER,13.64,3
IMOEX,2013-12-20,SBERP,SBERP,SBERP,1.04,3
IMOEX,2013-12-20,SNGS,SNGS,SNGS,3.36,3
IMOEX,2013-12-20,SNGSP,SNGSP,SNGSP,1.94,3
IMOEX,2013-12-20,SVAV,SVAV,SVAV,0.15,3
IMOEX,2013-12-20,TATN,TATN,TATN,2.14,3
IMOEX,2013-12-20,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-12-20,TRMK,TRMK,TRMK,0.37,3
IMOEX,2013-12-20,TRNFP,TRNFP,TRNFP,1.96,3
IMOEX,2013-12-20,URKA,URKA,URKA,3.2,3
IMOEX,2013-12-20,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-12-20,VTBR,VTBR,VTBR,3.63,3
