indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-09-25,AFKS,AFKS,AFKS,1.69,3
IMOEX,2013-09-25,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-09-25,ALRS,ALRS,ALRS,0.34,3
IMOEX,2013-09-25,BANE,BANE,BANE,0.61,3
IMOEX,2013-09-25,BANEP,BANEP,BANEP,0.7,3
IMOEX,2013-09-25,CHMF,CHMF,CHMF,0.74,3
IMOEX,2013-09-25,DIXY,DIXY,DIXY,0.26,3
IMOEX,2013-09-25,EONR,EONR,EONR,0.41,3
IMOEX,2013-09-25,FEES,FEES,FEES,0.4,3
IMOEX,2013-09-25,GAZP,GAZP,GAZP,15.42,3
IMOEX,2013-09-25,GMKN,GMKN,GMKN,3.3,3
IMOEX,2013-09-25,HYDR,HYDR,HYDR,0.88,3
IMOEX,2013-09-25,IRAO,IRAO,IRAO,0.32,3
IMOEX,2013-09-25,LKOH,LKOH,LKOH,14.01,3
IMOEX,2013-09-25,LSRG,LSRG,LSRG,0.27,3
IMOEX,2013-09-25,MAGN,MAGN,MAGN,0.19,3
IMOEX,2013-09-25,MFON,MFON,MFON,1.55,3
IMOEX,2013-09-25,MGNT,MGNT,MGNT,5.74,3
IMOEX,2013-09-25,MOEX,MOEX,MOEX,0.52,3
IMOEX,2013-09-25,MRKH,MRKH,MRKH,0.25,3
IMOEX,2013-09-25,MSNG,MSNG,MSNG,0.09,3
IMOEX,2013-09-25,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-09-25,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-09-25,MTLR,MTLR,MTLR,0.22,3
IMOEX,2013-09-25,MTLRP,MTLRP,MTLRP,0.1,3
IMOEX,2013-09-25,MTSS,MTSS,MTSS,4.61,3
IMOEX,2013-09-25,MVID,MVID,MVID,0.19,3
IMOEX,2013-09-25,NLMK,NLMK,NLMK,0.67,3
IMOEX,2013-09-25,NMTP,NMTP,NMTP,0.24,3
IMOEX,2013-09-25,NVTK,NVTK,NVTK,4.48,3
IMOEX,2013-09-25,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-09-25,PHST,PHST,PHST,0.24,3
IMOEX,2013-09-25,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-09-25,POLY,POLY,POLY,0.97,3
IMOEX,2013-09-25,ROSN,ROSN,ROSN,4.8,3
IMOEX,2013-09-25,RTKM,RTKM,RTKM,1.74,3
IMOEX,2013-09-25,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-09-25,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-09-25,SBER,SBER,SBER,14.68,3
IMOEX,2013-09-25,SBERP,SBERP,SBERP,1.08,3
IMOEX,2013-09-25,SNGS,SNGS,SNGS,3.53,3
IMOEX,2013-09-25,SNGSP,SNGSP,SNGSP,1.82,3
IMOEX,2013-09-25,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-09-25,TATN,TATN,TATN,2.18,3
IMOEX,2013-09-25,TATNP,TATNP,TATNP,0.23,3
IMOEX,2013-09-25,TRMK,TRMK,TRMK,0.32,3
IMOEX,2013-09-25,TRNFP,TRNFP,TRNFP,1.87,3
IMOEX,2013-09-25,URKA,URKA,URKA,3.1,3
IMOEX,2013-09-25,VSMO,VSMO,VSMO,0.28,3
IMOEX,2013-09-25,VTBR,VTBR,VTBR,3.17,3
