indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-09-17,AFKS,AFKS,AFKS,1.61,3
IMOEX,2013-09-17,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-09-17,ALRS,ALRS,ALRS,0.32,3
IMOEX,2013-09-17,BANE,BANE,BANE,0.63,3
IMOEX,2013-09-17,BANEP,BANEP,BANEP,0.69,3
IMOEX,2013-09-17,CHMF,CHMF,CHMF,0.76,3
IMOEX,2013-09-17,DIXY,DIXY,DIXY,0.26,3
IMOEX,2013-09-17,EONR,EONR,EONR,0.42,3
IMOEX,2013-09-17,FEES,FEES,FEES,0.4,3
IMOEX,2013-09-17,GAZP,GAZP,GAZP,15.52,3
IMOEX,2013-09-17,GMKN,GMKN,GMKN,3.25,3
IMOEX,2013-09-17,HYDR,HYDR,HYDR,0.87,3
IMOEX,2013-09-17,IRAO,IRAO,IRAO,0.32,3
IMOEX,2013-09-17,LKOH,LKOH,LKOH,13.74,3
IMOEX,2013-09-17,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-09-17,MAGN,MAGN,MAGN,0.19,3
IMOEX,2013-09-17,MFON,MFON,MFON,1.54,3
IMOEX,2013-09-17,MGNT,MGNT,MGNT,5.78,3
IMOEX,2013-09-17,MOEX,MOEX,MOEX,0.57,3
IMOEX,2013-09-17,MRKH,MRKH,MRKH,0.26,3
IMOEX,2013-09-17,MSNG,MSNG,MSNG,0.09,3
IMOEX,2013-09-17,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-09-17,MSTT,MSTT,MSTT,0.21,3
IMOEX,2013-09-17,MTLR,MTLR,MTLR,0.23,3
IMOEX,2013-09-17,MTLRP,MTLRP,MTLRP,0.1,3
IMOEX,2013-09-17,MTSS,MTSS,MTSS,4.51,3
IMOEX,2013-09-17,MVID,MVID,MVID,0.19,3
IMOEX,2013-09-17,NLMK,NLMK,NLMK,0.68,3
IMOEX,2013-09-17,NMTP,NMTP,NMTP,0.25,3
IMOEX,2013-09-17,NVTK,NVTK,NVTK,4.65,3
IMOEX,2013-09-17,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-09-17,PHST,PHST,PHST,0.24,3
IMOEX,2013-09-17,PIKK,PIKK,PIKK,0.26,3
IMOEX,2013-09-17,POLY,POLY,POLY,0.96,3
IMOEX,2013-09-17,ROSN,ROSN,ROSN,4.88,3
IMOEX,2013-09-17,RTKM,RTKM,RTKM,1.83,3
IMOEX,2013-09-17,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-09-17,RUALR,RUALR,RUALR,0.23,3
IMOEX,2013-09-17,SBER,SBER,SBER,14.41,3
IMOEX,2013-09-17,SBERP,SBERP,SBERP,1.08,3
IMOEX,2013-09-17,SNGS,SNGS,SNGS,3.47,3
IMOEX,2013-09-17,SNGSP,SNGSP,SNGSP,1.81,3
IMOEX,2013-09-17,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-09-17,TATN,TATN,TATN,2.25,3
IMOEX,2013-09-17,TATNP,TATNP,TATNP,0.23,3
IMOEX,2013-09-17,TRMK,TRMK,TRMK,0.33,3
IMOEX,2013-09-17,TRNFP,TRNFP,TRNFP,1.83,3
IMOEX,2013-09-17,URKA,URKA,URKA,3.27,3
IMOEX,2013-09-17,VSMO,VSMO,VSMO,0.29,3
IMOEX,2013-09-17,VTBR,VTBR,VTBR,3.22,3
