indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-13,AFKS,AFKS,AFKS,2.07,3
IMOEX,2013-12-13,AFLT,AFLT,AFLT,0.4,3
IMOEX,2013-12-13,ALRS,ALRS,ALRS,0.32,3
IMOEX,2013-12-13,BANE,BANE,BANE,0.63,3
IMOEX,2013-12-13,BANEP,BANEP,BANEP,0.79,3
IMOEX,2013-12-13,CHMF,CHMF,CHMF,0.77,3
IMOEX,2013-12-13,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-13,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-13,FEES,FEES,FEES,0.32,3
IMOEX,2013-12-13,GAZP,GAZP,GAZP,14.37,3
IMOEX,2013-12-13,GMKN,GMKN,GMKN,3.54,3
IMOEX,2013-12-13,HYDR,HYDR,HYDR,0.88,3
IMOEX,2013-12-13,IRAO,IRAO,IRAO,0.24,3
IMOEX,2013-12-13,LKOH,LKOH,LKOH,13.71,3
IMOEX,2013-12-13,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-12-13,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-13,MFON,MFON,MFON,1.53,3
IMOEX,2013-12-13,MGNT,MGNT,MGNT,6.55,3
IMOEX,2013-12-13,MOEX,MOEX,MOEX,0.56,3
IMOEX,2013-12-13,MRKH,MRKH,MRKH,0.18,3
IMOEX,2013-12-13,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-12-13,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-12-13,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-12-13,MTLR,MTLR,MTLR,0.13,3
IMOEX,2013-12-13,MTLRP,MTLRP,MTLRP,0.06,3
IMOEX,2013-12-13,MTSS,MTSS,MTSS,4.74,3
IMOEX,2013-12-13,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-13,NLMK,NLMK,NLMK,0.65,3
IMOEX,2013-12-13,NMTP,NMTP,NMTP,0.2,3
IMOEX,2013-12-13,NVTK,NVTK,NVTK,4.81,3
IMOEX,2013-12-13,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-12-13,PHST,PHST,PHST,0.21,3
IMOEX,2013-12-13,PIKK,PIKK,PIKK,0.26,3
IMOEX,2013-12-13,POLY,POLY,POLY,0.75,3
IMOEX,2013-12-13,ROSN,ROSN,ROSN,4.33,3
IMOEX,2013-12-13,RTKM,RTKM,RTKM,1.91,3
IMOEX,2013-12-13,RTKMP,RTKMP,RTKMP,0.23,3
IMOEX,2013-12-13,RUALR,RUALR,RUALR,0.23,3
IMOEX,2013-12-13,SBER,SBER,SBER,14.51,3
IMOEX,2013-12-13,SBERP,SBERP,SBERP,1.13,3
IMOEX,2013-12-13,SNGS,SNGS,SNGS,3.42,3
IMOEX,2013-12-13,SNGSP,SNGSP,SNGSP,1.94,3
IMOEX,2013-12-13,SVAV,SVAV,SVAV,0.14,3
IMOEX,2013-12-13,TATN,TATN,TATN,2.06,3
IMOEX,2013-12-13,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-12-13,TRMK,TRMK,TRMK,0.34,3
IMOEX,2013-12-13,TRNFP,TRNFP,TRNFP,1.95,3
IMOEX,2013-12-13,URKA,URKA,URKA,3.01,3
IMOEX,2013-12-13,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-12-13,VTBR,VTBR,VTBR,3.43,3
