indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-11-26,AFKS,AFKS,AFKS,1.98,3
IMOEX,2013-11-26,AFLT,AFLT,AFLT,0.29,3
IMOEX,2013-11-26,ALRS,ALRS,ALRS,0.33,3
IMOEX,2013-11-26,BANE,BANE,BANE,0.62,3
IMOEX,2013-11-26,BANEP,BANEP,BANEP,0.76,3
IMOEX,2013-11-26,CHMF,CHMF,CHMF,0.76,3
IMOEX,2013-11-26,DIXY,DIXY,DIXY,0.26,3
IMOEX,2013-11-26,EONR,EONR,EONR,0.39,3
IMOEX,2013-11-26,FEES,FEES,FEES,0.31,3
IMOEX,2013-11-26,GAZP,GAZP,GAZP,15.11,3
IMOEX,2013-11-26,GMKN,GMKN,GMKN,3.37,3
IMOEX,2013-11-26,HYDR,HYDR,HYDR,0.87,3
IMOEX,2013-11-26,IRAO,IRAO,IRAO,0.19,3
IMOEX,2013-11-26,LKOH,LKOH,LKOH,13.9,3
IMOEX,2013-11-26,LSRG,LSRG,LSRG,0.27,3
IMOEX,2013-11-26,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-11-26,MFON,MFON,MFON,1.44,3
IMOEX,2013-11-26,MGNT,MGNT,MGNT,6.38,3
IMOEX,2013-11-26,MOEX,MOEX,MOEX,0.58,3
IMOEX,2013-11-26,MRKH,MRKH,MRKH,0.17,3
IMOEX,2013-11-26,MSNG,MSNG,MSNG,0.07,3
IMOEX,2013-11-26,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-11-26,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-11-26,MTLR,MTLR,MTLR,0.14,3
IMOEX,2013-11-26,MTLRP,MTLRP,MTLRP,0.07,3
IMOEX,2013-11-26,MTSS,MTSS,MTSS,4.62,3
IMOEX,2013-11-26,MVID,MVID,MVID,0.2,3
IMOEX,2013-11-26,NLMK,NLMK,NLMK,0.65,3
IMOEX,2013-11-26,NMTP,NMTP,NMTP,0.21,3
IMOEX,2013-11-26,NVTK,NVTK,NVTK,4.72,3
IMOEX,2013-11-26,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-11-26,PHST,PHST,PHST,0.22,3
IMOEX,2013-11-26,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-11-26,POLY,POLY,POLY,0.76,3
IMOEX,2013-11-26,ROSN,ROSN,ROSN,4.39,3
IMOEX,2013-11-26,RTKM,RTKM,RTKM,1.81,3
IMOEX,2013-11-26,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-11-26,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-11-26,SBER,SBER,SBER,14.79,3
IMOEX,2013-11-26,SBERP,SBERP,SBERP,1.18,3
IMOEX,2013-11-26,SNGS,SNGS,SNGS,3.41,3
IMOEX,2013-11-26,SNGSP,SNGSP,SNGSP,1.86,3
IMOEX,2013-11-26,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-11-26,TATN,TATN,TATN,2.08,3
IMOEX,2013-11-26,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-11-26,TRMK,TRMK,TRMK,0.35,3
IMOEX,2013-11-26,TRNFP,TRNFP,TRNFP,1.87,3
IMOEX,2013-11-26,URKA,URKA,URKA,2.91,3
IMOEX,2013-11-26,VSMO,VSMO,VSMO,0.36,3
IMOEX,2013-11-26,VTBR,VTBR,VTBR,3.41,3
