indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2014-02-04,AFKS,AFKS,AFKS,42.22,9650000000,407423000000.0,0.36,1.0,3474000000,146672280000.0,2.25,99698613.8,1518,0.0386,0.0031,1.1066,-0.01,0.0444,RUB,3
IMOEX,2014-02-04,AFLT,AFLT,AFLT,76.65,1110616299,85128739318.35,0.32,1.0,355397216,27241196581.87,0.42,480112421.0,8368,0.0259,0.0066,0.6498,-0.02,0.0341,RUB,3
IMOEX,2014-02-04,ALRS,ALRS,ALRS,34.462,7364965630,253811445541.06,0.23,1.0,1693942095,58376632474.44,0.9,157397402.3,4759,0.0185,0.0004,1.0781,-0.03,0.1846,RUB,3
IMOEX,2014-02-04,BANE,BANE,BANE,1955.0,188710587,368929197585.0,0.12,1.0,22645270,44271503710.2,0.68,50268239.3,1084,0.0144,0.0011,0.7494,0.0,0.1459,RUB,3
IMOEX,2014-02-04,BANEP,BANEP,BANEP,1430.1,38673878,55307512927.8,1.0,1.0,38673878,55307512927.8,0.85,22059146.1,1879,0.0136,0.0024,0.6648,-0.01,0.1302,RUB,3
IMOEX,2014-02-04,BSPB,BSPB,BSPB,38.0,439554000,16703052000.0,0.41,1.0,180217140,6848251320.0,0.11,1587541.5,592,0.018,-0.0026,1.128,0.0,0.2132,RUB,3
IMOEX,2014-02-04,CHMF,CHMF,CHMF,277.2,837718660,232215612552.0,0.21,1.0,175920919,48765278635.92,0.75,556773656.0,7365,0.0135,-0.001,1.1379,-0.01,0.3843,RUB,3
IMOEX,2014-02-04,DIXY,DIXY,DIXY,332.01,124750000,41418247500.0,0.33,1.0,41167500,13668021675.0,0.21,17406964.4,613,0.015,-0.0046,0.5557,0.0,0.0747,RUB,3
IMOEX,2014-02-04,EONR,EONR,EONR,2.3265,63048706145,146682814846.34,0.18,1.0,11348767106,26402906672.34,0.41,178288166.4,10422,0.0126,-0.0003,0.4467,0.01,0.0684,RUB,3
IMOEX,2014-02-04,FEES,FEES,FEES,0.0814,1267141015996,103145278702.07,0.21,1.0,266099613359,21660508527.44,0.33,267895827.9,19341,0.0184,0.0003,0.7308,-0.01,0.0853,RUB,3
IMOEX,2014-02-04,GAZP,GAZP,GAZP,141.15,23673512900,3341516345835.0,0.46,0.6422378,6993851428,987182129042.03,15.16,8508413080.6,63130,0.013,0.0,1.2265,-0.03,0.4841,RUB,3
IMOEX,2014-02-04,GMKN,GMKN,GMKN,5330.0,158245476,843448387080.0,0.3,1.0,47473643,253034516124.0,3.89,2418984888.0,14004,0.012,0.0025,0.8165,0.01,0.2524,RUB,3
IMOEX,2014-02-04,HYDR,HYDR,HYDR,0.5569,317637520094,176892334940.35,0.34,1.0,107996756832,60143393879.72,0.92,264719929.8,5519,0.0111,0.0005,0.7076,0.0,0.2196,RUB,3
IMOEX,2014-02-04,IRAO,IRAO,IRAO,0.0106,10440000997683,110235970534.53,0.18,1.0,1879200179583,19842474696.22,0.3,371942672.5,8863,0.0315,0.0072,1.2315,0.0,0.0825,RUB,3
IMOEX,2014-02-04,KMAZ,KMAZ,KMAZ,46.31,707229559,32751800877.29,0.15,1.0,106084434,4912770131.59,0.08,4695760.0,152,0.0314,-0.0007,0.3036,0.0,0.0051,RUB,3
