indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-12,AFKS,AFKS,AFKS,2.12,3
IMOEX,2013-12-12,AFLT,AFLT,AFLT,0.38,3
IMOEX,2013-12-12,ALRS,ALRS,ALRS,0.32,3
IMOEX,2013-12-12,BANE,BANE,BANE,0.62,3
IMOEX,2013-12-12,BANEP,BANEP,BANEP,0.77,3
IMOEX,2013-12-12,CHMF,CHMF,CHMF,0.77,3
IMOEX,2013-12-12,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-12,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-12,FEES,FEES,FEES,0.32,3
IMOEX,2013-12-12,GAZP,GAZP,GAZP,14.48,3
IMOEX,2013-12-12,GMKN,GMKN,GMKN,3.52,3
IMOEX,2013-12-12,HYDR,HYDR,HYDR,0.88,3
IMOEX,2013-12-12,IRAO,IRAO,IRAO,0.24,3
IMOEX,2013-12-12,LKOH,LKOH,LKOH,13.74,3
IMOEX,2013-12-12,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-12-12,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-12,MFON,MFON,MFON,1.52,3
IMOEX,2013-12-12,MGNT,MGNT,MGNT,6.5,3
IMOEX,2013-12-12,MOEX,MOEX,MOEX,0.55,3
IMOEX,2013-12-12,MRKH,MRKH,MRKH,0.17,3
IMOEX,2013-12-12,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-12-12,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-12-12,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-12-12,MTLR,MTLR,MTLR,0.13,3
IMOEX,2013-12-12,MTLRP,MTLRP,MTLRP,0.06,3
IMOEX,2013-12-12,MTSS,MTSS,MTSS,4.72,3
IMOEX,2013-12-12,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-12,NLMK,NLMK,NLMK,0.64,3
IMOEX,2013-12-12,NMTP,NMTP,NMTP,0.2,3
IMOEX,2013-12-12,NVTK,NVTK,NVTK,4.83,3
IMOEX,2013-12-12,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-12-12,PHST,PHST,PHST,0.22,3
IMOEX,2013-12-12,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-12-12,POLY,POLY,POLY,0.74,3
IMOEX,2013-12-12,ROSN,ROSN,ROSN,4.35,3
IMOEX,2013-12-12,RTKM,RTKM,RTKM,1.9,3
IMOEX,2013-12-12,RTKMP,RTKMP,RTKMP,0.23,3
IMOEX,2013-12-12,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-12-12,SBER,SBER,SBER,14.55,3
IMOEX,2013-12-12,SBERP,SBERP,SBERP,1.15,3
IMOEX,2013-12-12,SNGS,SNGS,SNGS,3.44,3
IMOEX,2013-12-12,SNGSP,SNGSP,SNGSP,1.93,3
IMOEX,2013-12-12,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-12-12,TATN,TATN,TATN,2.06,3
IMOEX,2013-12-12,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-12-12,TRMK,TRMK,TRMK,0.35,3
IMOEX,2013-12-12,TRNFP,TRNFP,TRNFP,1.93,3
IMOEX,2013-12-12,URKA,URKA,URKA,2.98,3
IMOEX,2013-12-12,VSMO,VSMO,VSMO,0.37,3
IMOEX,2013-12-12,VTBR,VTBR,VTBR,3.43,3
