indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-26,AFKS,AFKS,AFKS,2.29,3
IMOEX,2013-12-26,AFLT,AFLT,AFLT,0.44,3
IMOEX,2013-12-26,ALRS,ALRS,ALRS,0.87,3
IMOEX,2013-12-26,BANE,BANE,BANE,0.67,3
IMOEX,2013-12-26,BANEP,BANEP,BANEP,0.8,3
IMOEX,2013-12-26,BSPB,BSPB,BSPB,0.11,3
IMOEX,2013-12-26,CHMF,CHMF,CHMF,0.82,3
IMOEX,2013-12-26,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-26,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-26,FEES,FEES,FEES,0.35,3
IMOEX,2013-12-26,GAZP,GAZP,GAZP,14.48,3
IMOEX,2013-12-26,GMKN,GMKN,GMKN,3.75,3
IMOEX,2013-12-26,HYDR,HYDR,HYDR,0.91,3
IMOEX,2013-12-26,IRAO,IRAO,IRAO,0.27,3
IMOEX,2013-12-26,KMAZ,KMAZ,KMAZ,0.08,3
IMOEX,2013-12-26,LKOH,LKOH,LKOH,13.09,3
IMOEX,2013-12-26,LSRG,LSRG,LSRG,0.3,3
IMOEX,2013-12-26,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-26,MFON,MFON,MFON,1.53,3
IMOEX,2013-12-26,MGNT,MGNT,MGNT,6.24,3
IMOEX,2013-12-26,MOEX,MOEX,MOEX,0.82,3
IMOEX,2013-12-26,MRKH,MRKH,MRKH,0.26,3
IMOEX,2013-12-26,MSRS,MSRS,MSRS,0.12,3
IMOEX,2013-12-26,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-12-26,MTLR,MTLR,MTLR,0.14,3
IMOEX,2013-12-26,MTLRP,MTLRP,MTLRP,0.04,3
IMOEX,2013-12-26,MTSS,MTSS,MTSS,4.89,3
IMOEX,2013-12-26,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-26,NLMK,NLMK,NLMK,0.67,3
IMOEX,2013-12-26,NMTP,NMTP,NMTP,0.13,3
IMOEX,2013-12-26,NVTK,NVTK,NVTK,4.89,3
IMOEX,2013-12-26,PHOR,PHOR,PHOR,0.35,3
IMOEX,2013-12-26,PIKK,PIKK,PIKK,0.29,3
IMOEX,2013-12-26,POLY,POLY,POLY,0.8,3
IMOEX,2013-12-26,ROSN,ROSN,ROSN,4.65,3
IMOEX,2013-12-26,RTKM,RTKM,RTKM,1.35,3
IMOEX,2013-12-26,RTKMP,RTKMP,RTKMP,0.18,3
IMOEX,2013-12-26,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-12-26,SBER,SBER,SBER,13.56,3
IMOEX,2013-12-26,SBERP,SBERP,SBERP,1.03,3
IMOEX,2013-12-26,SNGS,SNGS,SNGS,3.38,3
IMOEX,2013-12-26,SNGSP,SNGSP,SNGSP,1.93,3
IMOEX,2013-12-26,SVAV,SVAV,SVAV,0.14,3
IMOEX,2013-12-26,TATN,TATN,TATN,2.14,3
IMOEX,2013-12-26,TATNP,TATNP,TATNP,0.26,3
IMOEX,2013-12-26,TRMK,TRMK,TRMK,0.36,3
IMOEX,2013-12-26,TRNFP,TRNFP,TRNFP,2.0,3
IMOEX,2013-12-26,URKA,URKA,URKA,3.11,3
IMOEX,2013-12-26,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-12-26,VTBR,VTBR,VTBR,3.69,3
