indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-09-12,AFKS,AFKS,AFKS,1.74,3
IMOEX,2013-09-12,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-09-12,AKRN,AKRN,AKRN,0.09,3
IMOEX,2013-09-12,ALRS,ALRS,ALRS,0.34,3
IMOEX,2013-09-12,BANE,BANE,BANE,0.67,3
IMOEX,2013-09-12,BANEP,BANEP,BANEP,0.73,3
IMOEX,2013-09-12,CHMF,CHMF,CHMF,0.79,3
IMOEX,2013-09-12,DIXY,DIXY,DIXY,0.27,3
IMOEX,2013-09-12,EONR,EONR,EONR,0.45,3
IMOEX,2013-09-12,FEES,FEES,FEES,0.43,3
IMOEX,2013-09-12,GAZP,GAZP,GAZP,16.73,3
IMOEX,2013-09-12,GMKN,GMKN,GMKN,3.48,3
IMOEX,2013-09-12,HYDR,HYDR,HYDR,0.93,3
IMOEX,2013-09-12,IRAO,IRAO,IRAO,0.34,3
IMOEX,2013-09-12,LKOH,LKOH,LKOH,13.99,3
IMOEX,2013-09-12,LSRG,LSRG,LSRG,0.3,3
IMOEX,2013-09-12,MAGN,MAGN,MAGN,0.2,3
IMOEX,2013-09-12,MGNT,MGNT,MGNT,5.94,3
IMOEX,2013-09-12,MOEX,MOEX,MOEX,0.6,3
IMOEX,2013-09-12,MRKH,MRKH,MRKH,0.23,3
IMOEX,2013-09-12,MSNG,MSNG,MSNG,0.1,3
IMOEX,2013-09-12,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-09-12,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-09-12,MTLR,MTLR,MTLR,0.26,3
IMOEX,2013-09-12,MTLRP,MTLRP,MTLRP,0.11,3
IMOEX,2013-09-12,MTSS,MTSS,MTSS,4.67,3
IMOEX,2013-09-12,MVID,MVID,MVID,0.2,3
IMOEX,2013-09-12,NLMK,NLMK,NLMK,0.72,3
IMOEX,2013-09-12,NMTP,NMTP,NMTP,0.32,3
IMOEX,2013-09-12,NVTK,NVTK,NVTK,4.99,3
IMOEX,2013-09-12,PHOR,PHOR,PHOR,0.18,3
IMOEX,2013-09-12,PHST,PHST,PHST,0.39,3
IMOEX,2013-09-12,PIKK,PIKK,PIKK,0.16,3
IMOEX,2013-09-12,RASP,RASP,RASP,0.06,3
IMOEX,2013-09-12,ROSN,ROSN,ROSN,5.08,3
IMOEX,2013-09-12,RTKM,RTKM,RTKM,2.06,3
IMOEX,2013-09-12,RTKMP,RTKMP,RTKMP,0.27,3
IMOEX,2013-09-12,RUALR,RUALR,RUALR,0.25,3
IMOEX,2013-09-12,SBER,SBER,SBER,12.56,3
IMOEX,2013-09-12,SBERP,SBERP,SBERP,0.95,3
IMOEX,2013-09-12,SNGS,SNGS,SNGS,3.47,3
IMOEX,2013-09-12,SNGSP,SNGSP,SNGSP,1.83,3
IMOEX,2013-09-12,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-09-12,TATN,TATN,TATN,2.36,3
IMOEX,2013-09-12,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-09-12,TRMK,TRMK,TRMK,0.34,3
IMOEX,2013-09-12,TRNFP,TRNFP,TRNFP,1.96,3
IMOEX,2013-09-12,URKA,URKA,URKA,3.7,3
IMOEX,2013-09-12,VSMO,VSMO,VSMO,0.3,3
IMOEX,2013-09-12,VTBR,VTBR,VTBR,3.46,3
