indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-09-18,AFKS,AFKS,AFKS,1.59,3
IMOEX,2013-09-18,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-09-18,ALRS,ALRS,ALRS,0.34,3
IMOEX,2013-09-18,BANE,BANE,BANE,0.63,3
IMOEX,2013-09-18,BANEP,BANEP,BANEP,0.69,3
IMOEX,2013-09-18,CHMF,CHMF,CHMF,0.76,3
IMOEX,2013-09-18,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-09-18,EONR,EONR,EONR,0.42,3
IMOEX,2013-09-18,FEES,FEES,FEES,0.4,3
IMOEX,2013-09-18,GAZP,GAZP,GAZP,15.39,3
IMOEX,2013-09-18,GMKN,GMKN,GMKN,3.28,3
IMOEX,2013-09-18,HYDR,HYDR,HYDR,0.87,3
IMOEX,2013-09-18,IRAO,IRAO,IRAO,0.33,3
IMOEX,2013-09-18,LKOH,LKOH,LKOH,13.73,3
IMOEX,2013-09-18,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-09-18,MAGN,MAGN,MAGN,0.19,3
IMOEX,2013-09-18,MFON,MFON,MFON,1.6,3
IMOEX,2013-09-18,MGNT,MGNT,MGNT,5.79,3
IMOEX,2013-09-18,MOEX,MOEX,MOEX,0.57,3
IMOEX,2013-09-18,MRKH,MRKH,MRKH,0.26,3
IMOEX,2013-09-18,MSNG,MSNG,MSNG,0.09,3
IMOEX,2013-09-18,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-09-18,MSTT,MSTT,MSTT,0.2,3
IMOEX,2013-09-18,MTLR,MTLR,MTLR,0.23,3
IMOEX,2013-09-18,MTLRP,MTLRP,MTLRP,0.1,3
IMOEX,2013-09-18,MTSS,MTSS,MTSS,4.54,3
IMOEX,2013-09-18,MVID,MVID,MVID,0.19,3
IMOEX,2013-09-18,NLMK,NLMK,NLMK,0.68,3
IMOEX,2013-09-18,NMTP,NMTP,NMTP,0.24,3
IMOEX,2013-09-18,NVTK,NVTK,NVTK,4.62,3
IMOEX,2013-09-18,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-09-18,PHST,PHST,PHST,0.24,3
IMOEX,2013-09-18,PIKK,PIKK,PIKK,0.26,3
IMOEX,2013-09-18,POLY,POLY,POLY,0.97,3
IMOEX,2013-09-18,ROSN,ROSN,ROSN,4.86,3
IMOEX,2013-09-18,RTKM,RTKM,RTKM,1.82,3
IMOEX,2013-09-18,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-09-18,RUALR,RUALR,RUALR,0.23,3
IMOEX,2013-09-18,SBER,SBER,SBER,14.52,3
IMOEX,2013-09-18,SBERP,SBERP,SBERP,1.07,3
IMOEX,2013-09-18,SNGS,SNGS,SNGS,3.43,3
IMOEX,2013-09-18,SNGSP,SNGSP,SNGSP,1.82,3
IMOEX,2013-09-18,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-09-18,TATN,TATN,TATN,2.23,3
IMOEX,2013-09-18,TATNP,TATNP,TATNP,0.23,3
IMOEX,2013-09-18,TRMK,TRMK,TRMK,0.33,3
IMOEX,2013-09-18,TRNFP,TRNFP,TRNFP,1.85,3
IMOEX,2013-09-18,URKA,URKA,URKA,3.27,3
IMOEX,2013-09-18,VSMO,VSMO,VSMO,0.29,3
IMOEX,2013-09-18,VTBR,VTBR,VTBR,3.22,3
