indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-09-06,AFKS,AFKS,AFKS,1.7,3
IMOEX,2013-09-06,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-09-06,AKRN,AKRN,AKRN,0.08,3
IMOEX,2013-09-06,ALRS,ALRS,ALRS,0.35,3
IMOEX,2013-09-06,BANE,BANE,BANE,0.68,3
IMOEX,2013-09-06,BANEP,BANEP,BANEP,0.75,3
IMOEX,2013-09-06,CHMF,CHMF,CHMF,0.8,3
IMOEX,2013-09-06,DIXY,DIXY,DIXY,0.27,3
IMOEX,2013-09-06,EONR,EONR,EONR,0.45,3
IMOEX,2013-09-06,FEES,FEES,FEES,0.43,3
IMOEX,2013-09-06,GAZP,GAZP,GAZP,16.7,3
IMOEX,2013-09-06,GMKN,GMKN,GMKN,3.53,3
IMOEX,2013-09-06,HYDR,HYDR,HYDR,0.92,3
IMOEX,2013-09-06,IRAO,IRAO,IRAO,0.34,3
IMOEX,2013-09-06,LKOH,LKOH,LKOH,14.2,3
IMOEX,2013-09-06,LSRG,LSRG,LSRG,0.31,3
IMOEX,2013-09-06,MAGN,MAGN,MAGN,0.2,3
IMOEX,2013-09-06,MGNT,MGNT,MGNT,5.74,3
IMOEX,2013-09-06,MOEX,MOEX,MOEX,0.61,3
IMOEX,2013-09-06,MRKH,MRKH,MRKH,0.23,3
IMOEX,2013-09-06,MSNG,MSNG,MSNG,0.1,3
IMOEX,2013-09-06,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-09-06,MSTT,MSTT,MSTT,0.18,3
IMOEX,2013-09-06,MTLR,MTLR,MTLR,0.23,3
IMOEX,2013-09-06,MTLRP,MTLRP,MTLRP,0.1,3
IMOEX,2013-09-06,MTSS,MTSS,MTSS,4.74,3
IMOEX,2013-09-06,MVID,MVID,MVID,0.2,3
IMOEX,2013-09-06,NLMK,NLMK,NLMK,0.71,3
IMOEX,2013-09-06,NMTP,NMTP,NMTP,0.32,3
IMOEX,2013-09-06,NVTK,NVTK,NVTK,5.01,3
IMOEX,2013-09-06,PHOR,PHOR,PHOR,0.19,3
IMOEX,2013-09-06,PHST,PHST,PHST,0.41,3
IMOEX,2013-09-06,PIKK,PIKK,PIKK,0.16,3
IMOEX,2013-09-06,RASP,RASP,RASP,0.06,3
IMOEX,2013-09-06,ROSN,ROSN,ROSN,5.29,3
IMOEX,2013-09-06,RTKM,RTKM,RTKM,2.01,3
IMOEX,2013-09-06,RTKMP,RTKMP,RTKMP,0.28,3
IMOEX,2013-09-06,RUALR,RUALR,RUALR,0.25,3
IMOEX,2013-09-06,SBER,SBER,SBER,12.39,3
IMOEX,2013-09-06,SBERP,SBERP,SBERP,0.92,3
IMOEX,2013-09-06,SNGS,SNGS,SNGS,3.58,3
IMOEX,2013-09-06,SNGSP,SNGSP,SNGSP,1.86,3
IMOEX,2013-09-06,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-09-06,TATN,TATN,TATN,2.38,3
IMOEX,2013-09-06,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-09-06,TRMK,TRMK,TRMK,0.35,3
IMOEX,2013-09-06,TRNFP,TRNFP,TRNFP,1.98,3
IMOEX,2013-09-06,URKA,URKA,URKA,3.39,3
IMOEX,2013-09-06,VSMO,VSMO,VSMO,0.3,3
IMOEX,2013-09-06,VTBR,VTBR,VTBR,3.52,3
