indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-09-03,AFKS,AFKS,AFKS,1.7,3
IMOEX,2013-09-03,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-09-03,AKRN,AKRN,AKRN,0.09,3
IMOEX,2013-09-03,ALRS,ALRS,ALRS,0.36,3
IMOEX,2013-09-03,BANE,BANE,BANE,0.71,3
IMOEX,2013-09-03,BANEP,BANEP,BANEP,0.76,3
IMOEX,2013-09-03,CHMF,CHMF,CHMF,0.79,3
IMOEX,2013-09-03,DIXY,DIXY,DIXY,0.29,3
IMOEX,2013-09-03,EONR,EONR,EONR,0.46,3
IMOEX,2013-09-03,FEES,FEES,FEES,0.46,3
IMOEX,2013-09-03,GAZP,GAZP,GAZP,16.03,3
IMOEX,2013-09-03,GMKN,GMKN,GMKN,3.48,3
IMOEX,2013-09-03,HYDR,HYDR,HYDR,0.97,3
IMOEX,2013-09-03,IRAO,IRAO,IRAO,0.36,3
IMOEX,2013-09-03,LKOH,LKOH,LKOH,14.28,3
IMOEX,2013-09-03,LSRG,LSRG,LSRG,0.31,3
IMOEX,2013-09-03,MAGN,MAGN,MAGN,0.2,3
IMOEX,2013-09-03,MGNT,MGNT,MGNT,5.81,3
IMOEX,2013-09-03,MOEX,MOEX,MOEX,0.6,3
IMOEX,2013-09-03,MRKH,MRKH,MRKH,0.24,3
IMOEX,2013-09-03,MSNG,MSNG,MSNG,0.11,3
IMOEX,2013-09-03,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-09-03,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-09-03,MTLR,MTLR,MTLR,0.23,3
IMOEX,2013-09-03,MTLRP,MTLRP,MTLRP,0.11,3
IMOEX,2013-09-03,MTSS,MTSS,MTSS,4.73,3
IMOEX,2013-09-03,MVID,MVID,MVID,0.21,3
IMOEX,2013-09-03,NLMK,NLMK,NLMK,0.72,3
IMOEX,2013-09-03,NMTP,NMTP,NMTP,0.31,3
IMOEX,2013-09-03,NVTK,NVTK,NVTK,4.94,3
IMOEX,2013-09-03,PHOR,PHOR,PHOR,0.19,3
IMOEX,2013-09-03,PHST,PHST,PHST,0.42,3
IMOEX,2013-09-03,PIKK,PIKK,PIKK,0.17,3
IMOEX,2013-09-03,RASP,RASP,RASP,0.06,3
IMOEX,2013-09-03,ROSN,ROSN,ROSN,5.1,3
IMOEX,2013-09-03,RTKM,RTKM,RTKM,2.11,3
IMOEX,2013-09-03,RTKMP,RTKMP,RTKMP,0.29,3
IMOEX,2013-09-03,RUALR,RUALR,RUALR,0.25,3
IMOEX,2013-09-03,SBER,SBER,SBER,12.56,3
IMOEX,2013-09-03,SBERP,SBERP,SBERP,0.94,3
IMOEX,2013-09-03,SNGS,SNGS,SNGS,3.6,3
IMOEX,2013-09-03,SNGSP,SNGSP,SNGSP,1.9,3
IMOEX,2013-09-03,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-09-03,TATN,TATN,TATN,2.36,3
IMOEX,2013-09-03,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-09-03,TRMK,TRMK,TRMK,0.35,3
IMOEX,2013-09-03,TRNFP,TRNFP,TRNFP,1.98,3
IMOEX,2013-09-03,URKA,URKA,URKA,3.44,3
IMOEX,2013-09-03,VSMO,VSMO,VSMO,0.31,3
IMOEX,2013-09-03,VTBR,VTBR,VTBR,3.7,3
