indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-11-13,AFKS,AFKS,AFKS,1.89,3
IMOEX,2013-11-13,AFLT,AFLT,AFLT,0.3,3
IMOEX,2013-11-13,ALRS,ALRS,ALRS,0.33,3
IMOEX,2013-11-13,BANE,BANE,BANE,0.6,3
IMOEX,2013-11-13,BANEP,BANEP,BANEP,0.68,3
IMOEX,2013-11-13,CHMF,CHMF,CHMF,0.68,3
IMOEX,2013-11-13,DIXY,DIXY,DIXY,0.24,3
IMOEX,2013-11-13,EONR,EONR,EONR,0.4,3
IMOEX,2013-11-13,FEES,FEES,FEES,0.3,3
IMOEX,2013-11-13,GAZP,GAZP,GAZP,15.26,3
IMOEX,2013-11-13,GMKN,GMKN,GMKN,3.29,3
IMOEX,2013-11-13,HYDR,HYDR,HYDR,0.86,3
IMOEX,2013-11-13,IRAO,IRAO,IRAO,0.22,3
IMOEX,2013-11-13,LKOH,LKOH,LKOH,13.92,3
IMOEX,2013-11-13,LSRG,LSRG,LSRG,0.27,3
IMOEX,2013-11-13,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-11-13,MFON,MFON,MFON,1.51,3
IMOEX,2013-11-13,MGNT,MGNT,MGNT,6.09,3
IMOEX,2013-11-13,MOEX,MOEX,MOEX,0.56,3
IMOEX,2013-11-13,MRKH,MRKH,MRKH,0.17,3
IMOEX,2013-11-13,MSNG,MSNG,MSNG,0.07,3
IMOEX,2013-11-13,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-11-13,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-11-13,MTLR,MTLR,MTLR,0.14,3
IMOEX,2013-11-13,MTLRP,MTLRP,MTLRP,0.06,3
IMOEX,2013-11-13,MTSS,MTSS,MTSS,4.68,3
IMOEX,2013-11-13,MVID,MVID,MVID,0.19,3
IMOEX,2013-11-13,NLMK,NLMK,NLMK,0.61,3
IMOEX,2013-11-13,NMTP,NMTP,NMTP,0.23,3
IMOEX,2013-11-13,NVTK,NVTK,NVTK,4.89,3
IMOEX,2013-11-13,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-11-13,PHST,PHST,PHST,0.23,3
IMOEX,2013-11-13,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-11-13,POLY,POLY,POLY,0.81,3
IMOEX,2013-11-13,ROSN,ROSN,ROSN,4.51,3
IMOEX,2013-11-13,RTKM,RTKM,RTKM,2.01,3
IMOEX,2013-11-13,RTKMP,RTKMP,RTKMP,0.24,3
IMOEX,2013-11-13,RUALR,RUALR,RUALR,0.2,3
IMOEX,2013-11-13,SBER,SBER,SBER,14.79,3
IMOEX,2013-11-13,SBERP,SBERP,SBERP,1.16,3
IMOEX,2013-11-13,SNGS,SNGS,SNGS,3.47,3
IMOEX,2013-11-13,SNGSP,SNGSP,SNGSP,1.83,3
IMOEX,2013-11-13,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-11-13,TATN,TATN,TATN,2.11,3
IMOEX,2013-11-13,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-11-13,TRMK,TRMK,TRMK,0.34,3
IMOEX,2013-11-13,TRNFP,TRNFP,TRNFP,1.89,3
IMOEX,2013-11-13,URKA,URKA,URKA,2.94,3
IMOEX,2013-11-13,VSMO,VSMO,VSMO,0.34,3
IMOEX,2013-11-13,VTBR,VTBR,VTBR,3.21,3
