indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-10-28,AFKS,AFKS,AFKS,1.72,3
IMOEX,2013-10-28,AFLT,AFLT,AFLT,0.29,3
IMOEX,2013-10-28,ALRS,ALRS,ALRS,0.33,3
IMOEX,2013-10-28,BANE,BANE,BANE,0.61,3
IMOEX,2013-10-28,BANEP,BANEP,BANEP,0.77,3
IMOEX,2013-10-28,CHMF,CHMF,CHMF,0.7,3
IMOEX,2013-10-28,DIXY,DIXY,DIXY,0.24,3
IMOEX,2013-10-28,EONR,EONR,EONR,0.4,3
IMOEX,2013-10-28,FEES,FEES,FEES,0.37,3
IMOEX,2013-10-28,GAZP,GAZP,GAZP,15.57,3
IMOEX,2013-10-28,GMKN,GMKN,GMKN,3.41,3
IMOEX,2013-10-28,HYDR,HYDR,HYDR,0.85,3
IMOEX,2013-10-28,IRAO,IRAO,IRAO,0.25,3
IMOEX,2013-10-28,LKOH,LKOH,LKOH,13.84,3
IMOEX,2013-10-28,LSRG,LSRG,LSRG,0.29,3
IMOEX,2013-10-28,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-10-28,MFON,MFON,MFON,1.58,3
IMOEX,2013-10-28,MGNT,MGNT,MGNT,5.91,3
IMOEX,2013-10-28,MOEX,MOEX,MOEX,0.54,3
IMOEX,2013-10-28,MRKH,MRKH,MRKH,0.21,3
IMOEX,2013-10-28,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-10-28,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-10-28,MSTT,MSTT,MSTT,0.18,3
IMOEX,2013-10-28,MTLR,MTLR,MTLR,0.21,3
IMOEX,2013-10-28,MTLRP,MTLRP,MTLRP,0.09,3
IMOEX,2013-10-28,MTSS,MTSS,MTSS,4.82,3
IMOEX,2013-10-28,MVID,MVID,MVID,0.19,3
IMOEX,2013-10-28,NLMK,NLMK,NLMK,0.65,3
IMOEX,2013-10-28,NMTP,NMTP,NMTP,0.24,3
IMOEX,2013-10-28,NVTK,NVTK,NVTK,4.8,3
IMOEX,2013-10-28,PHOR,PHOR,PHOR,0.32,3
IMOEX,2013-10-28,PHST,PHST,PHST,0.25,3
IMOEX,2013-10-28,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-10-28,POLY,POLY,POLY,0.86,3
IMOEX,2013-10-28,ROSN,ROSN,ROSN,4.55,3
IMOEX,2013-10-28,RTKM,RTKM,RTKM,1.94,3
IMOEX,2013-10-28,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-10-28,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-10-28,SBER,SBER,SBER,14.5,3
IMOEX,2013-10-28,SBERP,SBERP,SBERP,1.11,3
IMOEX,2013-10-28,SNGS,SNGS,SNGS,3.45,3
IMOEX,2013-10-28,SNGSP,SNGSP,SNGSP,1.82,3
IMOEX,2013-10-28,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-10-28,TATN,TATN,TATN,2.13,3
IMOEX,2013-10-28,TATNP,TATNP,TATNP,0.24,3
IMOEX,2013-10-28,TRMK,TRMK,TRMK,0.33,3
IMOEX,2013-10-28,TRNFP,TRNFP,TRNFP,1.79,3
IMOEX,2013-10-28,URKA,URKA,URKA,3.05,3
IMOEX,2013-10-28,VSMO,VSMO,VSMO,0.28,3
IMOEX,2013-10-28,VTBR,VTBR,VTBR,3.09,3
