indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2014-01-28,AFKS,AFKS,AFKS,39.95,9650000000,385517500000.0,0.36,1.0,3474000000,138786300000.0,2.09,327699779.6,7598,0.0384,0.0019,1.1774,0.0,0.0532,RUB,3
IMOEX,2014-01-28,AFLT,AFLT,AFLT,81.75,1110616299,90792882443.25,0.32,1.0,355397216,29053722381.84,0.44,281708041.0,4884,0.0246,0.0069,0.5069,0.0,0.024,RUB,3
IMOEX,2014-01-28,ALRS,ALRS,ALRS,36.301,7364965630,267355617334.63,0.23,1.0,1693942095,61491791986.96,0.93,114159042.5,2730,0.0167,0.0009,0.994,0.01,0.2003,RUB,3
IMOEX,2014-01-28,BANE,BANE,BANE,2037.8,188710587,384554434188.6,0.12,1.0,22645270,46146532102.63,0.69,120035832.7,1288,0.014,0.0016,0.5795,-0.01,0.0966,RUB,3
IMOEX,2014-01-28,BANEP,BANEP,BANEP,1468.5,38673878,56792589843.0,1.0,1.0,38673878,56792589843.0,0.86,29269252.6,1369,0.014,0.0032,0.5834,-0.01,0.0978,RUB,3
IMOEX,2014-01-28,BSPB,BSPB,BSPB,40.37,439554000,17744794980.0,0.41,1.0,180217140,7275365941.8,0.11,1252052.7,403,0.0173,-0.002,1.0095,0.0,0.193,RUB,3
IMOEX,2014-01-28,CHMF,CHMF,CHMF,297.5,837718660,249221301350.0,0.21,1.0,175920919,52336473283.5,0.79,493328514.0,6014,0.0148,0.0018,1.2006,0.0,0.3723,RUB,3
IMOEX,2014-01-28,DIXY,DIXY,DIXY,333.03,124750000,41545492500.0,0.33,1.0,41167500,13710012525.0,0.21,65203295.2,2420,0.0161,-0.004,0.5753,-0.01,0.0723,RUB,3
IMOEX,2014-01-28,EONR,EONR,EONR,2.3799,63048706145,150049615754.49,0.18,1.0,11348767106,27008930835.81,0.41,56512561.1,1668,0.0126,-0.0001,0.484,-0.01,0.0839,RUB,3
IMOEX,2014-01-28,FEES,FEES,FEES,0.0874,1267141015996,110684767747.25,0.21,1.0,266099613359,23243801226.92,0.35,290516513.4,19468,0.0188,0.0013,0.5414,0.0,0.0468,RUB,3
IMOEX,2014-01-28,GAZP,GAZP,GAZP,147.01,23673512900,3480243131429.0,0.46,0.6422378,6993851428,1028166098409.27,15.48,10052530117.9,48914,0.0128,0.0005,1.2056,-0.07,0.5005,RUB,3
IMOEX,2014-01-28,GMKN,GMKN,GMKN,5341.0,158245476,845189087316.0,0.3,1.0,47473643,253556726194.8,3.82,2239368788.0,14522,0.0119,0.0025,0.7823,-0.08,0.243,RUB,3
IMOEX,2014-01-28,HYDR,HYDR,HYDR,0.553,317637520094,175653548611.98,0.34,1.0,107996756832,59722206528.07,0.9,392694371.1,16965,0.0111,0.0,0.7215,0.0,0.2402,RUB,3
IMOEX,2014-01-28,IRAO,IRAO,IRAO,0.0114,10440000997683,119350091405.51,0.18,1.0,1879200179583,21483016452.99,0.32,802068768.4,22914,0.0313,0.0073,0.9927,0.0,0.0569,RUB,3
IMOEX,2014-01-28,KMAZ,KMAZ,KMAZ,47.9,707229559,33876295876.1,0.15,1.0,106084434,5081444381.41,0.08,5727894.0,281,0.0316,-0.0015,0.2082,0.0,0.0025,RUB,3
IMOEX,2014-01-28,LKOH,LKOH,LKOH,1973.3,850563255,1678416471091.5,0.57,0.9083526,440388466,869018560277.28,13.09,2733785996.2,22376,0.0081,-0.0008,0.8062,0.08,0.5558,RUB,3
IMOEX,2014-01-28,LSRG,LSRG,LSRG,591.5,103030215,60942372172.5,0.33,1.0,33999971,20110982816.93,0.3,4706079.9,597,0.0169,0.0012,1.0159,0.0,0.2054,RUB,3
IMOEX,2014-01-28,MAGN,MAGN,MAGN,7.329,11174330000,81896664570.0,0.14,1.0,1564406200,11465533039.8,0.17,56986210.7,2595,0.0109,-0.0008,0.797,0.0,0.3036,RUB,3
IMOEX,2014-01-28,MFON,MFON,MFON,1044.0,620000000,647280000000.0,0.15,1.0,93000000,97092000000.0,1.46,15102991.0,749,0.0179,-0.0012,0.7594,0.0,0.1017,RUB,3
IMOEX,2014-01-28,MGNT,MGNT,MGNT,8232.1,94561355,778438530495.5,0.54,0.9083526,46383328,381832198082.21,5.75,2963947043.2,24344,0.0192,-0.0007,0.8792,-0.01,0.1191,RUB,3
IMOEX,2014-01-28,MOEX,MOEX,MOEX,62.96,2378489153,149749677072.88,0.37,1.0,880040987,55407380516.97,0.83,238867093.8,13260,0.0145,-0.0003,0.7243,0.02,0.1412,RUB,3
IMOEX,2014-01-28,MSRS,MSRS,MSRS,1.32,48707091574,64293360877.68,0.12,1.0,5844850989,7715203305.32,0.12,1713314.1,434,0.0188,0.0024,0.989,0.0,0.1573,RUB,3
IMOEX,2014-01-28,MSTT,MSTT,MSTT,127.59,282215500,36007875645.0,0.34,1.0,95953270,12242677719.3,0.18,8559925.1,772,0.0223,-0.002,0.6016,0.0,0.0413,RUB,3
IMOEX,2014-01-28,MTLR,MTLR,MTLR,62.1,416270745,25850413264.5,0.35,1.0,145694761,9047644642.58,0.14,26438409.4,1506,0.0279,0.0004,1.2705,0.0,0.1175,RUB,3
IMOEX,2014-01-28,MTLRP,MTLRP,MTLRP,33.94,138756915,4709409695.1,0.6,1.0,83254149,2825645817.06,0.04,1330967.4,736,0.0195,-0.0016,1.1153,0.0,0.1855,RUB,3
IMOEX,2014-01-28,MTSS,MTSS,MTSS,299.5,2066413562,618890861819.0,0.49,1.0,1012542645,303256522291.31,4.57,645165337.6,7763,0.0139,-0.0009,1.3404,0.01,0.5246,RUB,3
IMOEX,2014-01-28,MVID,MVID,MVID,243.29,179768227,43735811946.83,0.26,1.0,46739739,11371311106.18,0.17,36771907.3,2528,0.0192,-0.0026,0.0541,-0.01,0.0005,RUB,3
IMOEX,2014-01-28,NLMK,NLMK,NLMK,52.73,5993227240,316022872365.2,0.14,1.0,839051814,44243202131.13,0.67,151029303.8,4224,0.0156,0.0013,1.3552,0.01,0.4264,RUB,3
IMOEX,2014-01-28,NMTP,NMTP,NMTP,2.8527,19259815400,54942475391.58,0.15,1.0,2888972310,8241371308.74,0.12,3950085.7,401,0.0257,-0.003,1.0568,0.0,0.0961,RUB,3
IMOEX,2014-01-28,NVTK,NVTK,NVTK,391.3,3036306000,1188106537800.0,0.27,1.0,819802620,320788765206.0,4.83,758852831.1,7962,0.0127,-0.0009,0.8475,-0.18,0.2509,RUB,3
IMOEX,2014-01-28,PHOR,PHOR,PHOR,1092.4,129500000,141465800000.0,0.19,1.0,24605000,26878502000.0,0.4,7753515.4,933,0.0159,0.0024,0.9542,0.0,0.204,RUB,3
IMOEX,2014-01-28,PIKK,PIKK,PIKK,66.24,660497344,43751344066.56,0.42,1.0,277408884,18375564507.96,0.28,5460680.6,426,0.0181,0.0017,1.0253,0.0,0.1815,RUB,3
IMOEX,2014-01-28,POLY,POLY,POLY,341.82,389472865,133129614714.3,0.5,1.0,194736433,66564807357.15,1.0,14958753.08,915,0.0336,0.0043,0.7549,-0.01,0.0285,RUB,3
IMOEX,2014-01-28,ROSN,ROSN,ROSN,244.4,10598177817,2590194658474.8,0.12,1.0,1271781338,310823359016.98,4.68,1206208535.2,9958,0.0108,0.0002,1.0937,-0.04,0.585,RUB,3
IMOEX,2014-01-28,RSTI,RSTI,RSTI,0.784,161078853310,126285820995.04,0.14,1.0,22551039463,17680014939.31,0.27,373268779.0,6325,0.0247,0.0023,0.5611,0.0,0.0291,RUB,3
IMOEX,2014-01-28,RTKM,RTKM,RTKM,111.75,2669204301,298283580636.75,0.31,1.0,827453333,92467909997.39,1.39,182977642.1,6246,0.0122,-0.0008,0.7055,0.0,0.1891,RUB,3
