indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-10-22,AFKS,AFKS,AFKS,1.72,3
IMOEX,2013-10-22,AFLT,AFLT,AFLT,0.28,3
IMOEX,2013-10-22,ALRS,ALRS,ALRS,0.32,3
IMOEX,2013-10-22,BANE,BANE,BANE,0.6,3
IMOEX,2013-10-22,BANEP,BANEP,BANEP,0.76,3
IMOEX,2013-10-22,CHMF,CHMF,CHMF,0.72,3
IMOEX,2013-10-22,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-10-22,EONR,EONR,EONR,0.41,3
IMOEX,2013-10-22,FEES,FEES,FEES,0.38,3
IMOEX,2013-10-22,GAZP,GAZP,GAZP,15.77,3
IMOEX,2013-10-22,GMKN,GMKN,GMKN,3.22,3
IMOEX,2013-10-22,HYDR,HYDR,HYDR,0.85,3
IMOEX,2013-10-22,IRAO,IRAO,IRAO,0.28,3
IMOEX,2013-10-22,LKOH,LKOH,LKOH,13.75,3
IMOEX,2013-10-22,LSRG,LSRG,LSRG,0.29,3
IMOEX,2013-10-22,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-10-22,MFON,MFON,MFON,1.57,3
IMOEX,2013-10-22,MGNT,MGNT,MGNT,5.87,3
IMOEX,2013-10-22,MOEX,MOEX,MOEX,0.56,3
IMOEX,2013-10-22,MRKH,MRKH,MRKH,0.22,3
IMOEX,2013-10-22,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-10-22,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-10-22,MSTT,MSTT,MSTT,0.18,3
IMOEX,2013-10-22,MTLR,MTLR,MTLR,0.21,3
IMOEX,2013-10-22,MTLRP,MTLRP,MTLRP,0.09,3
IMOEX,2013-10-22,MTSS,MTSS,MTSS,4.87,3
IMOEX,2013-10-22,MVID,MVID,MVID,0.18,3
IMOEX,2013-10-22,NLMK,NLMK,NLMK,0.67,3
IMOEX,2013-10-22,NMTP,NMTP,NMTP,0.23,3
IMOEX,2013-10-22,NVTK,NVTK,NVTK,4.65,3
IMOEX,2013-10-22,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-10-22,PHST,PHST,PHST,0.25,3
IMOEX,2013-10-22,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-10-22,POLY,POLY,POLY,0.85,3
IMOEX,2013-10-22,ROSN,ROSN,ROSN,4.61,3
IMOEX,2013-10-22,RTKM,RTKM,RTKM,1.77,3
IMOEX,2013-10-22,RTKMP,RTKMP,RTKMP,0.21,3
IMOEX,2013-10-22,RUALR,RUALR,RUALR,0.21,3
IMOEX,2013-10-22,SBER,SBER,SBER,14.69,3
IMOEX,2013-10-22,SBERP,SBERP,SBERP,1.11,3
IMOEX,2013-10-22,SNGS,SNGS,SNGS,3.53,3
IMOEX,2013-10-22,SNGSP,SNGSP,SNGSP,1.85,3
IMOEX,2013-10-22,SVAV,SVAV,SVAV,0.12,3
IMOEX,2013-10-22,TATN,TATN,TATN,2.14,3
IMOEX,2013-10-22,TATNP,TATNP,TATNP,0.24,3
IMOEX,2013-10-22,TRMK,TRMK,TRMK,0.33,3
IMOEX,2013-10-22,TRNFP,TRNFP,TRNFP,1.87,3
IMOEX,2013-10-22,URKA,URKA,URKA,3.0,3
IMOEX,2013-10-22,VSMO,VSMO,VSMO,0.27,3
IMOEX,2013-10-22,VTBR,VTBR,VTBR,3.05,3
