indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-04,AFKS,AFKS,AFKS,2.02,3
IMOEX,2013-12-04,AFLT,AFLT,AFLT,0.35,3
IMOEX,2013-12-04,ALRS,ALRS,ALRS,0.34,3
IMOEX,2013-12-04,BANE,BANE,BANE,0.62,3
IMOEX,2013-12-04,BANEP,BANEP,BANEP,0.75,3
IMOEX,2013-12-04,CHMF,CHMF,CHMF,0.77,3
IMOEX,2013-12-04,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-04,EONR,EONR,EONR,0.39,3
IMOEX,2013-12-04,FEES,FEES,FEES,0.32,3
IMOEX,2013-12-04,GAZP,GAZP,GAZP,14.82,3
IMOEX,2013-12-04,GMKN,GMKN,GMKN,3.49,3
IMOEX,2013-12-04,HYDR,HYDR,HYDR,0.89,3
IMOEX,2013-12-04,IRAO,IRAO,IRAO,0.23,3
IMOEX,2013-12-04,LKOH,LKOH,LKOH,13.73,3
IMOEX,2013-12-04,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-12-04,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-04,MFON,MFON,MFON,1.42,3
IMOEX,2013-12-04,MGNT,MGNT,MGNT,6.3,3
IMOEX,2013-12-04,MOEX,MOEX,MOEX,0.57,3
IMOEX,2013-12-04,MRKH,MRKH,MRKH,0.18,3
IMOEX,2013-12-04,MSNG,MSNG,MSNG,0.07,3
IMOEX,2013-12-04,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-12-04,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-12-04,MTLR,MTLR,MTLR,0.13,3
IMOEX,2013-12-04,MTLRP,MTLRP,MTLRP,0.06,3
IMOEX,2013-12-04,MTSS,MTSS,MTSS,4.62,3
IMOEX,2013-12-04,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-04,NLMK,NLMK,NLMK,0.64,3
IMOEX,2013-12-04,NMTP,NMTP,NMTP,0.2,3
IMOEX,2013-12-04,NVTK,NVTK,NVTK,4.73,3
IMOEX,2013-12-04,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-12-04,PHST,PHST,PHST,0.21,3
IMOEX,2013-12-04,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-12-04,POLY,POLY,POLY,0.78,3
IMOEX,2013-12-04,ROSN,ROSN,ROSN,4.44,3
IMOEX,2013-12-04,RTKM,RTKM,RTKM,1.86,3
IMOEX,2013-12-04,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-12-04,RUALR,RUALR,RUALR,0.21,3
IMOEX,2013-12-04,SBER,SBER,SBER,14.65,3
IMOEX,2013-12-04,SBERP,SBERP,SBERP,1.17,3
IMOEX,2013-12-04,SNGS,SNGS,SNGS,3.47,3
IMOEX,2013-12-04,SNGSP,SNGSP,SNGSP,1.88,3
IMOEX,2013-12-04,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-12-04,TATN,TATN,TATN,2.06,3
IMOEX,2013-12-04,TATNP,TATNP,TATNP,0.25,3
IMOEX,2013-12-04,TRMK,TRMK,TRMK,0.35,3
IMOEX,2013-12-04,TRNFP,TRNFP,TRNFP,1.95,3
IMOEX,2013-12-04,URKA,URKA,URKA,3.07,3
IMOEX,2013-12-04,VSMO,VSMO,VSMO,0.38,3
IMOEX,2013-12-04,VTBR,VTBR,VTBR,3.42,3
