indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2014-01-24,AFKS,AFKS,AFKS,49.0,9650000000,472850000000.0,0.36,1.0,3474000000,170226000000.0,2.52,189530966.3,2257,0.0277,0.0056,0.63,0.36,0.0358,RUB,3
IMOEX,2014-01-24,AFLT,AFLT,AFLT,78.7,1110616299,87405502731.3,0.32,1.0,355397216,27969760874.02,0.41,339836747.0,4845,0.0243,0.0066,0.6573,-0.01,0.0506,RUB,3
IMOEX,2014-01-24,ALRS,ALRS,ALRS,35.67,7364965630,262708324022.1,0.23,1.0,1693942095,60422914525.08,0.89,284299272.5,2878,0.0173,0.0002,1.1319,0.02,0.2978,RUB,3
IMOEX,2014-01-24,BANE,BANE,BANE,2022.0,188710587,381572806914.0,0.12,1.0,22645270,45788736829.68,0.68,220285789.2,728,0.0161,0.0017,0.9554,-0.01,0.2457,RUB,3
IMOEX,2014-01-24,BANEP,BANEP,BANEP,1440.0,38673878,55690384320.0,1.0,1.0,38673878,55690384320.0,0.82,17566464.1,941,0.0153,0.0031,0.918,0.0,0.2503,RUB,3
IMOEX,2014-01-24,BSPB,BSPB,BSPB,40.68,439554000,17881056720.0,0.41,1.0,180217140,7331233255.2,0.11,1048622.6,317,0.0173,-0.0025,0.826,0.0,0.1575,RUB,3
IMOEX,2014-01-24,CHMF,CHMF,CHMF,302.8,837718660,253661210248.0,0.21,1.0,175920919,53268854152.08,0.79,469069698.0,6731,0.0181,0.0014,1.5176,-0.01,0.4875,RUB,3
IMOEX,2014-01-24,DIXY,DIXY,DIXY,355.05,124750000,44292487500.0,0.33,1.0,41167500,14616520875.0,0.22,25332610.5,917,0.0153,-0.0032,0.6285,0.0,0.1169,RUB,3
IMOEX,2014-01-24,EONR,EONR,EONR,2.43,63048706145,153208355932.35,0.18,1.0,11348767106,27577504067.82,0.41,71795697.2,1443,0.0124,0.0001,0.3085,-0.02,0.0429,RUB,3
IMOEX,2014-01-24,FEES,FEES,FEES,0.0902,1267141015996,114258105412.36,0.21,1.0,266099613359,23994202136.6,0.36,306699508.6,10298,0.0272,0.0011,1.4748,-0.01,0.2039,RUB,3
IMOEX,2014-01-24,GAZP,GAZP,GAZP,146.72,23673512900,3473377812688.0,0.46,0.6422378,6993851428,1026137881495.19,15.19,14233915518.8,69917,0.0138,0.0002,1.2815,0.19,0.5984,RUB,3
IMOEX,2014-01-24,GMKN,GMKN,GMKN,5505.0,158245476,871141345380.0,0.3,1.0,47473643,261342403614.0,3.87,2228551808.0,13703,0.0117,0.0026,0.7102,-0.01,0.2546,RUB,3
IMOEX,2014-01-24,HYDR,HYDR,HYDR,0.56,317637520094,177877011252.64,0.34,1.0,107996756832,60478183825.9,0.9,244749804.5,9831,0.0114,0.0003,0.7026,-0.01,0.2644,RUB,3
IMOEX,2014-01-24,IRAO,IRAO,IRAO,0.0114,10440000997683,118942931366.6,0.18,1.0,1879200179583,21409727645.99,0.32,1687196789.9,35865,0.0334,0.0065,1.4357,0.0,0.1283,RUB,3
IMOEX,2014-01-24,KMAZ,KMAZ,KMAZ,50.12,707229559,35446345497.08,0.15,1.0,106084434,5316951824.56,0.08,6460148.0,328,0.0314,-0.0011,0.0777,0.0,0.0004,RUB,3
IMOEX,2014-01-24,LKOH,LKOH,LKOH,1956.9,850563255,1664467233709.5,0.57,0.9083526,440388466,861796189432.22,12.76,4886422944.7,27580,0.0085,-0.0012,0.8422,-0.09,0.6779,RUB,3
IMOEX,2014-01-24,LSRG,LSRG,LSRG,596.5,103030215,61457523247.5,0.33,1.0,33999971,20280982671.68,0.3,3643810.8,299,0.0176,0.0015,1.0674,0.0,0.2552,RUB,3
IMOEX,2014-01-24,MAGN,MAGN,MAGN,7.41,11174330000,82801785300.0,0.14,1.0,1564406200,11592249942.0,0.17,73529571.2,2864,0.0139,-0.0015,1.1103,0.0,0.4409,RUB,3
IMOEX,2014-01-24,MFON,MFON,MFON,1044.8,620000000,647776000000.0,0.15,1.0,93000000,97166400000.0,1.44,16311806.0,506,0.0189,-0.0021,0.9437,-0.01,0.1726,RUB,3
IMOEX,2014-01-24,MGNT,MGNT,MGNT,8266.1,94561355,781653616565.5,0.54,0.9083526,46383328,383409231249.3,5.68,1891451004.8,17223,0.0199,-0.001,1.0149,-0.01,0.1805,RUB,3
IMOEX,2014-01-24,MOEX,MOEX,MOEX,62.45,2378489153,148536647604.85,0.37,1.0,880040987,54958559613.79,0.81,247398138.1,9780,0.0142,-0.0006,0.6269,-0.02,0.1358,RUB,3
IMOEX,2014-01-24,MSRS,MSRS,MSRS,1.3,48707091574,63319219046.2,0.12,1.0,5844850989,7598306285.54,0.11,15407584.0,262,0.0221,0.0016,1.5201,0.0,0.3272,RUB,3
IMOEX,2014-01-24,MSTT,MSTT,MSTT,128.0,282215500,36123584000.0,0.34,1.0,95953270,12282018560.0,0.18,8211666.1,460,0.0233,-0.0021,0.8803,0.0,0.0991,RUB,3
IMOEX,2014-01-24,MTLR,MTLR,MTLR,63.3,416270745,26349938158.5,0.35,1.0,145694761,9222478355.48,0.14,56499824.4,2477,0.0513,-0.0068,2.6443,0.0,0.1842,RUB,3
IMOEX,2014-01-24,MTLRP,MTLRP,MTLRP,34.31,138756915,4760749753.65,0.6,1.0,83254149,2856449852.19,0.04,2517853.2,454,0.0456,-0.0043,3.2139,0.0,0.3439,RUB,3
IMOEX,2014-01-24,MTSS,MTSS,MTSS,305.6,2066413562,631495984547.2,0.49,1.0,1012542645,309433032428.13,4.58,940651205.7,10660,0.014,-0.0012,1.2205,-0.03,0.5245,RUB,3
IMOEX,2014-01-24,MVID,MVID,MVID,261.09,179768227,46935686387.43,0.26,1.0,46739739,12203278460.73,0.18,54531235.6,868,0.0183,-0.0013,0.0704,0.0,0.001,RUB,3
IMOEX,2014-01-24,NLMK,NLMK,NLMK,53.98,5993227240,323514406415.2,0.14,1.0,839051814,45292016898.13,0.67,185950092.9,5333,0.0169,0.0005,1.404,-0.02,0.4779,RUB,3
IMOEX,2014-01-24,NMTP,NMTP,NMTP,2.7799,19259815400,53540360830.46,0.15,1.0,2888972310,8031054124.57,0.12,650147.1,131,0.0259,-0.0034,1.1937,0.0,0.147,RUB,3
IMOEX,2014-01-24,NVTK,NVTK,NVTK,408.68,3036306000,1240877536080.0,0.27,1.0,819802620,335036934741.6,4.96,891008088.0,10952,0.0119,-0.0003,0.753,-0.09,0.2756,RUB,3
IMOEX,2014-01-24,PHOR,PHOR,PHOR,1114.0,129500000,144263000000.0,0.19,1.0,24605000,27409970000.0,0.41,11269418.5,498,0.0164,0.0029,0.9972,0.01,0.2572,RUB,3
IMOEX,2014-01-24,PIKK,PIKK,PIKK,67.67,660497344,44695855268.48,0.42,1.0,277408884,18772259212.76,0.28,3097396.2,494,0.0176,0.0018,0.8377,0.0,0.1569,RUB,3
IMOEX,2014-01-24,POLY,POLY,POLY,339.15,389472865,132089722164.75,0.5,1.0,194736433,66044861082.37,0.98,16850027.33,771,0.0336,0.0043,0.6134,0.08,0.0231,RUB,3
IMOEX,2014-01-24,ROSN,ROSN,ROSN,247.91,10598177817,2627394262612.47,0.12,1.0,1271781338,315287311513.5,4.67,1754075701.8,14640,0.0108,0.0001,0.9725,-0.01,0.5579,RUB,3
IMOEX,2014-01-24,RSTI,RSTI,RSTI,0.798,161078853310,128540924941.38,0.14,1.0,22551039463,17995729491.79,0.27,670533346.0,9576,0.03,0.0009,1.3044,0.0,0.1313,RUB,3
IMOEX,2014-01-24,RTKM,RTKM,RTKM,112.2,2669204301,299484722572.2,0.31,1.0,827453333,92840263997.38,1.37,325427662.0,9523,0.0122,-0.0009,0.5655,0.01,0.1489,RUB,3
IMOEX,2014-01-24,RTKMP,RTKMP,RTKMP,74.37,242831469,18059376349.53,0.7,1.0,169982028,12641563444.67,0.19,11694981.0,318,0.0123,-0.0006,0.2544,0.0,0.0297,RUB,3
IMOEX,2014-01-24,RUALR,RUALR,RUALR,122.01,2000000000,244020000000.0,0.08,1.0,160000000,19521600000.0,0.29,38108211.1,878,0.0344,0.0057,1.8448,0.01,0.1994,RUB,3
IMOEX,2014-01-24,SBER,SBER,SBER,99.7,21586948000,2152218715600.0,0.48,0.8711671,9026802666,899972225776.79,13.33,11328433229.4,63496,0.0105,-0.0008,1.129,-0.2,0.7982,RUB,3
IMOEX,2014-01-24,SBERP,SBERP,SBERP,79.49,1000000000,79490000000.0,1.0,0.8711671,871167100,69249072779.0,1.03,644371414.0,7088,0.0088,-0.0008,0.6159,-0.02,0.3401,RUB,3
IMOEX,2014-01-24,SNGS,SNGS,SNGS,28.417,35725994705,1015225591531.99,0.25,0.9083526,8112950044,230545701413.65,3.41,966075787.9,12611,0.0111,0.0001,1.0565,0.01,0.6234,RUB,3
IMOEX,2014-01-24,SNGSP,SNGSP,SNGSP,26.65,7701998235,205258252962.75,0.73,0.9083526,5107174989,136106213457.63,2.02,1023373895.9,12778,0.0118,0.0025,0.9635,0.05,0.4655,RUB,3
IMOEX,2014-01-24,SVAV,SVAV,SVAV,750.0,34270159,25702619250.0,0.34,1.0,11651854,8738890545.0,0.13,1708968.0,99,0.0167,0.0006,1.072,0.0,0.2854,RUB,3
IMOEX,2014-01-24,TATN,TATN,TATN,198.0,2178690700,431380758600.0,0.32,1.0,697181024,138041842752.0,2.04,537054558.8,10796,0.0131,-0.0012,1.1074,-0.03,0.4961,RUB,3
IMOEX,2014-01-24,TATNP,TATNP,TATNP,125.0,147508500,18438562500.0,1.0,1.0,147508500,18438562500.0,0.27,12625286.1,579,0.0146,0.0013,1.0146,0.0,0.3348,RUB,3
IMOEX,2014-01-24,TRMK,TRMK,TRMK,103.81,937586094,97330812418.14,0.28,1.0,262524106,27252627477.08,0.4,5801451.2,462,0.017,0.0035,0.7687,-0.01,0.142,RUB,3
IMOEX,2014-01-24,TRNFP,TRNFP,TRNFP,85446.0,1554875,132857849250.0,1.0,1.0,1554875,132857849250.0,1.97,447639904.0,2201,0.0079,0.0004,0.2904,0.01,0.0942,RUB,3
IMOEX,2014-01-24,URKA,URKA,URKA,182.65,2936015891,536263302491.15,0.42,1.0,1233126674,225230587046.28,3.33,936855212.7,12314,0.0182,0.0018,1.162,-0.01,0.2821,RUB,3
IMOEX,2014-01-24,VSMO,VSMO,VSMO,7960.0,11529538,91775122480.0,0.29,1.0,3343566,26614785519.2,0.39,2830810.0,107,0.0239,0.0029,0.3367,0.0,0.0138,RUB,3
IMOEX,2014-01-24,VTBR,VTBR,VTBR,0.047,12960541337338,608627021201.39,0.39,1.0,5054611121562,237364538268.54,3.51,2397111245.9,31207,0.0112,0.0007,0.9295,-0.04,0.4768,RUB,3
