indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-10-25,AFKS,AFKS,AFKS,1.72,3
IMOEX,2013-10-25,AFLT,AFLT,AFLT,0.29,3
IMOEX,2013-10-25,ALRS,ALRS,ALRS,0.33,3
IMOEX,2013-10-25,BANE,BANE,BANE,0.61,3
IMOEX,2013-10-25,BANEP,BANEP,BANEP,0.77,3
IMOEX,2013-10-25,CHMF,CHMF,CHMF,0.7,3
IMOEX,2013-10-25,DIXY,DIXY,DIXY,0.24,3
IMOEX,2013-10-25,EONR,EONR,EONR,0.4,3
IMOEX,2013-10-25,FEES,FEES,FEES,0.37,3
IMOEX,2013-10-25,GAZP,GAZP,GAZP,15.61,3
IMOEX,2013-10-25,GMKN,GMKN,GMKN,3.4,3
IMOEX,2013-10-25,HYDR,HYDR,HYDR,0.83,3
IMOEX,2013-10-25,IRAO,IRAO,IRAO,0.26,3
IMOEX,2013-10-25,LKOH,LKOH,LKOH,13.88,3
IMOEX,2013-10-25,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-10-25,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-10-25,MFON,MFON,MFON,1.57,3
IMOEX,2013-10-25,MGNT,MGNT,MGNT,5.8,3
IMOEX,2013-10-25,MOEX,MOEX,MOEX,0.56,3
IMOEX,2013-10-25,MRKH,MRKH,MRKH,0.21,3
IMOEX,2013-10-25,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-10-25,MSRS,MSRS,MSRS,0.16,3
IMOEX,2013-10-25,MSTT,MSTT,MSTT,0.19,3
IMOEX,2013-10-25,MTLR,MTLR,MTLR,0.21,3
IMOEX,2013-10-25,MTLRP,MTLRP,MTLRP,0.09,3
IMOEX,2013-10-25,MTSS,MTSS,MTSS,4.82,3
IMOEX,2013-10-25,MVID,MVID,MVID,0.19,3
IMOEX,2013-10-25,NLMK,NLMK,NLMK,0.65,3
IMOEX,2013-10-25,NMTP,NMTP,NMTP,0.24,3
IMOEX,2013-10-25,NVTK,NVTK,NVTK,4.8,3
IMOEX,2013-10-25,PHOR,PHOR,PHOR,0.32,3
IMOEX,2013-10-25,PHST,PHST,PHST,0.25,3
IMOEX,2013-10-25,PIKK,PIKK,PIKK,0.25,3
IMOEX,2013-10-25,POLY,POLY,POLY,0.86,3
IMOEX,2013-10-25,ROSN,ROSN,ROSN,4.54,3
IMOEX,2013-10-25,RTKM,RTKM,RTKM,1.92,3
IMOEX,2013-10-25,RTKMP,RTKMP,RTKMP,0.22,3
IMOEX,2013-10-25,RUALR,RUALR,RUALR,0.22,3
IMOEX,2013-10-25,SBER,SBER,SBER,14.59,3
IMOEX,2013-10-25,SBERP,SBERP,SBERP,1.11,3
IMOEX,2013-10-25,SNGS,SNGS,SNGS,3.47,3
IMOEX,2013-10-25,SNGSP,SNGSP,SNGSP,1.83,3
IMOEX,2013-10-25,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-10-25,TATN,TATN,TATN,2.11,3
IMOEX,2013-10-25,TATNP,TATNP,TATNP,0.24,3
IMOEX,2013-10-25,TRMK,TRMK,TRMK,0.33,3
IMOEX,2013-10-25,TRNFP,TRNFP,TRNFP,1.81,3
IMOEX,2013-10-25,URKA,URKA,URKA,3.03,3
IMOEX,2013-10-25,VSMO,VSMO,VSMO,0.27,3
IMOEX,2013-10-25,VTBR,VTBR,VTBR,3.05,3
