indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2014-01-16,AFKS,AFKS,AFKS,44.5,9650000000,429425000000.0,0.36,1.0,3474000000,154593000000.0,2.31,120061953.0,2289,0.0142,0.0042,0.5834,0.03,0.1278,RUB,3
IMOEX,2014-01-16,AFLT,AFLT,AFLT,84.8,1110616299,94180262155.2,0.32,1.0,355397216,30137683889.66,0.45,347051490.0,5575,0.0226,0.0086,0.8222,0.0,0.0994,RUB,3
IMOEX,2014-01-16,ALRS,ALRS,ALRS,32.0,7364965630,235678900160.0,0.23,1.0,1693942095,54206147036.8,0.81,214758294.6,2652,0.0161,-0.0018,0.9359,-0.01,0.2548,RUB,3
IMOEX,2014-01-16,BANE,BANE,BANE,2143.8,188710587,404557756410.6,0.12,1.0,22645270,48546930769.27,0.73,121851704.6,1759,0.0155,0.0043,1.0383,0.01,0.3354,RUB,3
IMOEX,2014-01-16,BANEP,BANEP,BANEP,1443.6,38673878,55829610280.8,1.0,1.0,38673878,55829610280.8,0.83,34030000.3,2987,0.0158,0.0029,0.9123,0.0,0.2507,RUB,3
IMOEX,2014-01-16,BSPB,BSPB,BSPB,43.22,439554000,18997523880.0,0.41,1.0,180217140,7788984790.8,0.12,2686697.8,791,0.017,-0.0014,0.7862,0.0,0.1611,RUB,3
IMOEX,2014-01-16,CHMF,CHMF,CHMF,306.3,837718660,256593225558.0,0.21,1.0,175920919,53884577367.18,0.81,285644781.0,4287,0.0187,0.0026,1.5235,-0.01,0.4986,RUB,3
IMOEX,2014-01-16,DIXY,DIXY,DIXY,398.35,124750000,49694162500.0,0.33,1.0,41167500,16399073625.0,0.25,13265844.1,685,0.0133,-0.0006,0.602,-0.01,0.1547,RUB,3
IMOEX,2014-01-16,EONR,EONR,EONR,2.4349,63048706145,153517294592.46,0.18,1.0,11348767106,27633113026.64,0.41,73093155.8,2276,0.0114,-0.0001,0.3216,-0.01,0.0594,RUB,3
IMOEX,2014-01-16,FEES,FEES,FEES,0.0903,1267141015996,114422833744.44,0.21,1.0,266099613359,24028795086.33,0.36,300882137.9,10790,0.0281,-0.0006,1.3815,-0.01,0.1815,RUB,3
IMOEX,2014-01-16,GAZP,GAZP,GAZP,137.36,23673512900,3251793731944.0,0.46,0.6422378,6993851428,960675432130.45,14.36,6582040891.9,36103,0.013,-0.0012,1.2552,-0.01,0.6993,RUB,3
IMOEX,2014-01-16,GMKN,GMKN,GMKN,5470.0,158245476,865602753720.0,0.3,1.0,47473643,259680826116.0,3.88,1751284833.0,9081,0.0117,0.0025,0.6443,0.02,0.229,RUB,3
IMOEX,2014-01-16,HYDR,HYDR,HYDR,0.5672,317637520094,180164001397.32,0.34,1.0,107996756832,61255760475.09,0.92,224655940.6,6967,0.0114,0.0007,0.7257,-0.01,0.3056,RUB,3
IMOEX,2014-01-16,IRAO,IRAO,IRAO,0.0098,10440000997683,101790009727.41,0.18,1.0,1879200179583,18322201750.93,0.27,395304838.1,8367,0.0315,0.0021,1.5783,0.0,0.1883,RUB,3
IMOEX,2014-01-16,KMAZ,KMAZ,KMAZ,50.9,707229559,35997984553.1,0.15,1.0,106084434,5399697682.96,0.08,1115109.0,112,0.03,-0.0011,0.059,0.0,0.0003,RUB,3
IMOEX,2014-01-16,LKOH,LKOH,LKOH,1979.6,850563255,1683775019598.0,0.57,0.9083526,440388466,871793007614.1,13.03,1836684819.4,11674,0.0086,-0.0009,0.8499,-0.13,0.7354,RUB,3
IMOEX,2014-01-16,LSRG,LSRG,LSRG,597.4,103030215,61550250441.0,0.33,1.0,33999971,20311582645.53,0.3,9429967.0,867,0.0198,0.0013,1.2819,-0.01,0.3162,RUB,3
IMOEX,2014-01-16,MAGN,MAGN,MAGN,7.486,11174330000,83651034380.0,0.14,1.0,1564406200,11711144813.2,0.18,71768985.0,3631,0.0136,-0.0006,0.9948,0.0,0.3996,RUB,3
IMOEX,2014-01-16,MFON,MFON,MFON,1032.1,620000000,639902000000.0,0.15,1.0,93000000,95985300000.0,1.43,22996007.0,706,0.0195,-0.0021,1.0196,-0.02,0.2048,RUB,3
IMOEX,2014-01-16,MGNT,MGNT,MGNT,9025.5,94561355,853463509552.5,0.54,0.9083526,46383328,418632730869.52,6.26,3070380736.0,23668,0.0189,0.0013,1.1573,0.08,0.281,RUB,3
IMOEX,2014-01-16,MOEX,MOEX,MOEX,64.8,2378489153,154126097114.4,0.37,1.0,880040987,57026655932.33,0.85,109339396.6,11897,0.0149,0.0015,0.6608,0.0,0.1485,RUB,3
IMOEX,2014-01-16,MSRS,MSRS,MSRS,1.2497,48707091574,60869252340.03,0.12,1.0,5844850989,7304310280.8,0.11,15683149.1,1262,0.0227,0.0007,1.3746,0.0,0.2769,RUB,3
IMOEX,2014-01-16,MSTT,MSTT,MSTT,127.45,282215500,35968365475.0,0.34,1.0,95953270,12229244261.5,0.18,30451655.6,1440,0.0244,-0.0007,0.9548,-0.01,0.1149,RUB,3
IMOEX,2014-01-16,MTLR,MTLR,MTLR,65.7,416270745,27348987946.5,0.35,1.0,145694761,9572145781.27,0.14,53304081.5,2196,0.0516,-0.0066,2.3846,0.0,0.1605,RUB,3
IMOEX,2014-01-16,MTLRP,MTLRP,MTLRP,35.64,138756915,4945296450.6,0.6,1.0,83254149,2967177870.36,0.04,2270187.3,863,0.0457,-0.0036,3.0125,0.0,0.3264,RUB,3
IMOEX,2014-01-16,MTSS,MTSS,MTSS,312.6,2066413562,645960879481.2,0.49,1.0,1012542645,316520830945.79,4.73,579547427.8,7347,0.0141,-0.001,1.1618,-0.08,0.5089,RUB,3
IMOEX,2014-01-16,MVID,MVID,MVID,290.0,179768227,52132785830.0,0.26,1.0,46739739,13554524315.8,0.2,64452327.9,1253,0.0157,0.0012,0.2115,0.0,0.0137,RUB,3
IMOEX,2014-01-16,NLMK,NLMK,NLMK,54.44,5993227240,326271290945.6,0.14,1.0,839051814,45677980732.38,0.68,78868019.9,2921,0.0167,0.0005,1.3912,-0.01,0.5222,RUB,3
IMOEX,2014-01-16,NMTP,NMTP,NMTP,2.79,19259815400,53734884966.0,0.15,1.0,2888972310,8060232744.9,0.12,2316694.2,413,0.0261,-0.0032,1.2354,0.0,0.1684,RUB,3
IMOEX,2014-01-16,NVTK,NVTK,NVTK,394.1,3036306000,1196608194600.0,0.27,1.0,819802620,323084212542.0,4.83,693181450.4,8834,0.0116,-0.0007,0.8068,-0.08,0.3652,RUB,3
IMOEX,2014-01-16,PHOR,PHOR,PHOR,1010.0,129500000,130795000000.0,0.19,1.0,24605000,24851050000.0,0.37,141614486.6,1049,0.0154,0.001,0.9335,0.0,0.2764,RUB,3
IMOEX,2014-01-16,PIKK,PIKK,PIKK,70.36,660497344,46472593123.84,0.42,1.0,277408884,19518489112.01,0.29,13165448.0,814,0.0173,0.0025,0.8429,-0.01,0.1784,RUB,3
IMOEX,2014-01-16,POLY,POLY,POLY,295.0,389472865,114894495175.0,0.5,1.0,194736433,57447247587.5,0.86,32981666.23,1731,0.0329,0.0008,0.4237,0.04,0.0124,RUB,3
IMOEX,2014-01-16,ROSN,ROSN,ROSN,243.47,10598177817,2580338353104.99,0.12,1.0,1271781338,309640602372.6,4.63,1644665562.2,10651,0.0108,-0.0002,0.9664,-0.05,0.6043,RUB,3
IMOEX,2014-01-16,RSTI,RSTI,RSTI,0.765,161078853310,123225322782.15,0.14,1.0,22551039463,17251545189.5,0.26,387597295.0,5777,0.0301,-0.0013,1.3453,0.0,0.1506,RUB,3
IMOEX,2014-01-16,RTKM,RTKM,RTKM,111.5,2669204301,297616279561.5,0.31,1.0,827453333,92261046664.06,1.38,243281213.0,5667,0.0122,-0.0007,0.5549,0.0,0.1549,RUB,3
IMOEX,2014-01-16,RTKMP,RTKMP,RTKMP,73.7,242831469,17896679265.3,0.7,1.0,169982028,12527675485.71,0.19,15006222.0,556,0.0125,-0.0003,0.2425,0.0,0.0285,RUB,3
IMOEX,2014-01-16,RUALR,RUALR,RUALR,98.05,2000000000,196100000000.0,0.08,1.0,160000000,15688000000.0,0.23,6555891.0,659,0.0277,0.0013,1.5678,0.0,0.2417,RUB,3
IMOEX,2014-01-16,SBER,SBER,SBER,100.65,21586948000,2172726316200.0,0.48,0.8711671,9026802666,908547688309.27,13.58,6342081313.5,30123,0.0112,0.0,1.1789,0.03,0.8276,RUB,3
IMOEX,2014-01-16,SBERP,SBERP,SBERP,79.02,1000000000,79020000000.0,1.0,0.8711671,871167100,68839624242.0,1.03,365735070.0,4900,0.0087,-0.0009,0.6069,0.0,0.3667,RUB,3
IMOEX,2014-01-16,SNGS,SNGS,SNGS,27.802,35725994705,993254104788.41,0.25,0.9083526,8112950044,225556237136.3,3.37,688701039.7,7744,0.0112,-0.0002,1.0286,-0.04,0.638,RUB,3
IMOEX,2014-01-16,SNGSP,SNGSP,SNGSP,25.851,7701998235,199104356372.98,0.73,0.9083526,5107174989,132025580641.39,1.97,694943810.4,8418,0.0118,0.0022,0.8979,-0.01,0.4335,RUB,3
IMOEX,2014-01-16,SVAV,SVAV,SVAV,785.0,34270159,26902074815.0,0.34,1.0,11651854,9146705437.1,0.14,5662530.0,259,0.0168,0.0012,1.123,0.0,0.3361,RUB,3
