indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-12-17,AFKS,AFKS,AFKS,2.25,3
IMOEX,2013-12-17,AFLT,AFLT,AFLT,0.42,3
IMOEX,2013-12-17,ALRS,ALRS,ALRS,0.84,3
IMOEX,2013-12-17,BANE,BANE,BANE,0.66,3
IMOEX,2013-12-17,BANEP,BANEP,BANEP,0.84,3
IMOEX,2013-12-17,BSPB,BSPB,BSPB,0.12,3
IMOEX,2013-12-17,CHMF,CHMF,CHMF,0.79,3
IMOEX,2013-12-17,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-12-17,EONR,EONR,EONR,0.4,3
IMOEX,2013-12-17,FEES,FEES,FEES,0.33,3
IMOEX,2013-12-17,GAZP,GAZP,GAZP,14.5,3
IMOEX,2013-12-17,GMKN,GMKN,GMKN,3.7,3
IMOEX,2013-12-17,HYDR,HYDR,HYDR,0.91,3
IMOEX,2013-12-17,IRAO,IRAO,IRAO,0.28,3
IMOEX,2013-12-17,KMAZ,KMAZ,KMAZ,0.08,3
IMOEX,2013-12-17,LKOH,LKOH,LKOH,13.32,3
IMOEX,2013-12-17,LSRG,LSRG,LSRG,0.3,3
IMOEX,2013-12-17,MAGN,MAGN,MAGN,0.17,3
IMOEX,2013-12-17,MFON,MFON,MFON,1.58,3
IMOEX,2013-12-17,MGNT,MGNT,MGNT,6.35,3
IMOEX,2013-12-17,MOEX,MOEX,MOEX,0.84,3
IMOEX,2013-12-17,MRKH,MRKH,MRKH,0.24,3
IMOEX,2013-12-17,MSRS,MSRS,MSRS,0.11,3
IMOEX,2013-12-17,MSTT,MSTT,MSTT,0.23,3
IMOEX,2013-12-17,MTLR,MTLR,MTLR,0.14,3
IMOEX,2013-12-17,MTLRP,MTLRP,MTLRP,0.04,3
IMOEX,2013-12-17,MTSS,MTSS,MTSS,4.84,3
IMOEX,2013-12-17,MVID,MVID,MVID,0.2,3
IMOEX,2013-12-17,NLMK,NLMK,NLMK,0.67,3
IMOEX,2013-12-17,NMTP,NMTP,NMTP,0.12,3
IMOEX,2013-12-17,NVTK,NVTK,NVTK,4.92,3
IMOEX,2013-12-17,PHOR,PHOR,PHOR,0.36,3
IMOEX,2013-12-17,PIKK,PIKK,PIKK,0.28,3
IMOEX,2013-12-17,POLY,POLY,POLY,0.78,3
IMOEX,2013-12-17,ROSN,ROSN,ROSN,4.5,3
IMOEX,2013-12-17,RTKM,RTKM,RTKM,1.39,3
IMOEX,2013-12-17,RTKMP,RTKMP,RTKMP,0.19,3
IMOEX,2013-12-17,RUALR,RUALR,RUALR,0.24,3
IMOEX,2013-12-17,SBER,SBER,SBER,13.52,3
IMOEX,2013-12-17,SBERP,SBERP,SBERP,1.04,3
IMOEX,2013-12-17,SNGS,SNGS,SNGS,3.39,3
IMOEX,2013-12-17,SNGSP,SNGSP,SNGSP,1.91,3
IMOEX,2013-12-17,SVAV,SVAV,SVAV,0.14,3
IMOEX,2013-12-17,TATN,TATN,TATN,2.15,3
IMOEX,2013-12-17,TATNP,TATNP,TATNP,0.26,3
IMOEX,2013-12-17,TRMK,TRMK,TRMK,0.37,3
IMOEX,2013-12-17,TRNFP,TRNFP,TRNFP,2.0,3
IMOEX,2013-12-17,URKA,URKA,URKA,3.1,3
IMOEX,2013-12-17,VSMO,VSMO,VSMO,0.39,3
IMOEX,2013-12-17,VTBR,VTBR,VTBR,3.54,3
