indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2013-09-04,SBERP,SBERP,SBERP,70.29,1000000000,70290000000.0,1.0,0.8205782,820578200,57678441678.0,0.94,261221222.0,2950,0.0142,-0.0007,1.176,0.0,0.6016,RUB,3
IMOEX,2013-09-04,SNGS,SNGS,SNGS,26.47,35725994705,945667079841.35,0.25,0.9289614,8297017514,219622053605.83,3.58,452639260.7,7720,0.0122,-0.0002,0.9028,-0.02,0.4759,RUB,3
IMOEX,2013-09-04,SNGSP,SNGSP,SNGSP,22.4,7701998235,172524760464.0,0.73,0.9289614,5223047116,116996255401.17,1.91,187883069.1,6298,0.0096,0.0014,0.361,0.01,0.1238,RUB,3
IMOEX,2013-09-04,SVAV,SVAV,SVAV,645.4,34270159,22117960618.6,0.34,1.0,11651854,7520106610.32,0.12,1294462.0,109,0.0172,-0.0021,0.4324,0.0,0.0553,RUB,3
IMOEX,2013-09-04,TATN,TATN,TATN,207.99,2178690700,453145878693.0,0.32,1.0,697181024,145006681181.76,2.36,74623559.9,2222,0.0161,0.0004,1.2502,0.01,0.5308,RUB,3
IMOEX,2013-09-04,TATNP,TATNP,TATNP,105.51,147508500,15563621835.0,1.0,1.0,147508500,15563621835.0,0.25,6565504.5,237,0.0068,0.0018,0.2692,0.0,0.1359,RUB,3
IMOEX,2013-09-04,TRMK,TRMK,TRMK,82.52,937586094,77369604476.88,0.28,1.0,262524106,21663489253.53,0.35,3454453.3,244,0.0168,0.0004,0.8545,0.0,0.2254,RUB,3
IMOEX,2013-09-04,TRNFP,TRNFP,TRNFP,78696.0,1554875,122362443000.0,1.0,1.0,1554875,122362443000.0,2.0,216992154.0,1484,0.0125,0.0016,0.4551,0.02,0.1153,RUB,3
IMOEX,2013-09-04,URKA,URKA,URKA,162.04,2936015891,475752014977.64,0.45,0.9998508,1321010027,214056464749.66,3.49,446723715.1,7937,0.035,-0.0063,1.0212,0.05,0.0747,RUB,3
IMOEX,2013-09-04,VSMO,VSMO,VSMO,5755.9,11529538,66362867774.2,0.29,1.0,3343566,19245231654.52,0.31,396528.1,16,0.0112,-0.0007,0.4644,0.0,0.1504,RUB,3
IMOEX,2013-09-04,VTBR,VTBR,VTBR,0.0447,12960541337338,579854619432.5,0.39,1.0,5054611121562,226143301578.68,3.69,1223843105.8,16688,0.0101,-0.0015,0.7218,0.0,0.4484,RUB,3
